oshpd_id9,oshpd_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,ASSEMBLY_DIST,SENATE_DIST,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Childrens_or_Cancer_Center,Died,Home_Health_Service,Hospice_Care,Other_Care,Other_Unknown,Prison_Jail,Psychiatric_Care,Residential_Care_Facility,Routine,SN_IC_Care,Not_Defined_Elsewhere,Critical_Access_Hospital,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,Dx_Invalid,Dx_Births,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Unknown,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_Uninsured,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_Dx_Invalid,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear
106160702,160702,CORCORAN DISTRICT HOSPITAL,1310 HANNA AVENUE,CORCORAN,93212,,NO,30,16,68,,09 - Central,Kings,General Acute Care,District,General Medical / Surgical,32,Standby,3397,2964,1,,1304,823,1107,869,922,522,345,148,74,248,,6,378,2913,17,31,245,2772,88,31,,11,,,,8,1,,,6223,,,,3073,820,106,1240,1123,161,18,94,,417,141,361,215,1207,399,7,788,165,3,215,900,257,1014,,,404,20,21,1,109,2,7,66,5101,497,29,53,18,25,9,,6362,2,5594,766,209,261,,,15,58,59,104,68,58,51,53,,4,,1,19,275,6,52,117,,12,5,4,,,,,310,4,135,0,0,0,0,0,112,107,154,39,58,,7,12,,57,42,66,4,24,7,6,10,60,11,66,53,45,,,,10,1,1,3,3,13,2,427,4,,1,3,,2,,,470,1,421,48,2011
106164029,164029,ADVENTIST MEDICAL CENTER,115 MALL DRIVE,HANFORD,93230,,NO,30,16,69,,09 - Central,Kings,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,142,Basic,52157,38591,,,18659,12471,15506,12517,11156,7271,3965,2886,2237,4075,5,788,3919,57635,438,1032,128,26808,1072,841,,87,152,,,9,120,271,289,87693,213,1,,46206,8906,5660,18623,11353,2757,231,1419,32,7123,1081,6129,2573,18280,5503,136,7411,2047,106,2797,14488,4178,14453,,4,5397,272,783,60,623,95,407,1242,70855,8275,277,1706,219,475,62,,90748,167,74139,16442,4951,3894,,,242,666,729,1133,1400,1365,1414,1718,66,112,,140,386,4217,65,13,3980,44,278,187,251,933,70,,43,6192,879,12,0,0,0,0,0,2012,3908,227,1675,1023,159,212,1329,2,1626,605,678,609,554,138,148,182,1,68,1267,290,963,1,13,,385,60,544,5,44,324,35,7239,121,8,22,38,9,11,,,8845,54,7233,1558,2011
106171049,171049,ST. HELENA HOSPITAL - CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,95422,,NO,1,2,71.1,,01 - Northern California,Lake,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,32,Standby,8870,7382,,,1486,1528,2476,2009,2151,2459,1688,1087,1025,343,,69,679,1344,114,36,176,13834,2329,338,,36,2,1,,,96,126,2,13278,44,,,7566,4422,331,2431,1502,339,26,387,1,643,166,462,182,3414,1261,6,820,220,7,738,1160,955,5464,,1,1129,94,116,13,203,8,148,239,12403,1326,78,313,84,80,18,,16252,15,15832,405,810,573,,,27,81,107,191,274,253,176,243,8,23,,2,58,71,3,12,1230,7,146,58,21,109,4,1,,932,112,,0,0,0,0,0,358,711,19,121,174,32,18,107,,266,99,90,78,91,21,19,22,2,36,382,56,63,1,,,38,29,137,5,6,75,6,1064,9,,,6,5,1,2,,1383,1,1370,12,2011
106171395,171395,SUTTER LAKESIDE HOSPITAL,5176 HILL ROAD EAST,LAKEPORT,95453,Level IV,NO,1,2,70.1,,01 - Northern California,Lake,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,49,Basic,9682,7715,,,1520,1746,2502,2310,2132,2388,1767,1444,1241,347,,58,281,1983,694,121,27,14233,544,108,,23,,,,28,85,54,,16551,3,,1,6203,4792,731,3087,2584,287,72,663,7,1375,302,860,365,3844,1221,73,1134,717,12,422,1780,888,3375,,,1250,94,132,11,188,19,165,252,12870,1789,76,361,58,107,25,,17397,35,16563,799,723,624,,,24,45,51,120,219,268,274,331,6,9,,3,15,97,8,5,1185,34,108,14,30,301,14,,2,652,224,2,0,0,0,0,0,177,844,14,165,147,6,25,238,,270,53,76,117,146,17,30,49,,14,227,46,29,1,3,,85,42,145,1,22,59,4,935,25,1,13,9,5,,1,,1347,,1316,31,2011
106184008,184008,BANNER LASSEN MEDICAL CENTER,1800 SPRING RIDGE DRIVE,SUSANVILLE,96130,,NO,3,1,72,,01 - Northern California,Lassen,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,38,Basic,4708,4072,,,951,1106,1636,1081,1162,944,741,445,492,222,,66,177,579,371,31,27,7529,520,6,,10,3,,,2,,48,28,8065,98,,,2529,1585,1203,2569,894,201,19,246,1,541,104,444,199,2354,575,8,703,190,5,278,919,272,1721,,,746,46,68,14,134,9,50,133,6033,1164,44,225,55,41,18,,8780,4,8707,69,472,414,,,37,92,73,114,127,124,114,168,11,26,,4,23,53,5,2,770,29,73,16,21,72,8,,,560,80,56,0,0,0,0,0,150,386,77,202,71,21,12,78,,205,56,63,25,53,23,14,19,2,12,173,53,75,,2,,44,9,38,2,1,39,7,716,15,,2,5,7,1,,,886,,881,5,2011
106190017,190017,ALHAMBRA HOSPITAL,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,,NO,49,22,78.2eeee,San Gabriel Valley,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Partnership,General Medical / Surgical,118,Basic,5449,4178,,,1037,1106,1465,1279,1364,1140,774,592,740,130,,1673,466,6131,3,90,7,1257,183,244,27,10,42,,1,,1,63,9,8809,237,1,,1175,2129,77,4804,1442,132,52,281,4,755,152,560,109,2295,641,14,724,183,2,485,973,375,1890,,,873,55,60,1,123,7,53,108,7135,819,46,252,23,55,17,,9627,829,7825,973,1648,1332,,,20,65,93,209,307,433,610,1243,,,,1460,77,1067,14,,361,1,265,81,96,506,121,6,18,1023,861,3,0,0,0,0,0,642,1756,13,443,126,,66,488,3,416,163,230,497,169,47,79,61,1,13,492,67,188,,,,182,15,127,5,10,86,5,2493,30,2,9,4,11,1,,,2980,1135,1461,384,2011
106190034,190034,ANTELOPE VALLEY HOSPITAL,1600 WEST AVENUE J,LANCASTER,93534,Level II,NO,36,17,77.1b,Antelope Valley,11 - Los Angeles,Los Angeles,General Acute Care,District,General Medical / Surgical,390,Basic,53387,36961,,,14939,11903,17688,12484,10936,9746,4334,2364,1812,4142,,956,25970,31181,113,668,265,31195,393,2869,61,139,10,8,1,5,,60,16,86608,171,7,,49699,9688,2996,11628,16337,4974,488,1409,30,4222,1142,5803,2432,16194,3949,245,7816,6003,241,3049,12893,3591,15866,,1,4783,286,686,42,1079,97,590,719,71723,6823,336,2212,432,417,123,,90348,194,83064,7090,7771,6913,,,591,1261,1224,1768,2681,2301,2100,1980,337,441,,270,3194,3503,101,1,7596,19,190,312,428,1429,52,1,110,10859,1229,74,0,0,0,0,0,4240,6119,502,2778,1045,361,333,2358,14,2172,767,892,751,1778,261,257,301,17,594,2150,308,1269,16,85,,656,95,611,112,55,866,38,11377,190,39,401,197,36,8,3,,14684,57,13492,1135,2011
106190045,190045,CATALINA ISLAND MEDICAL CENTER,100 FALLS CANYON ROAD,AVALON,90704,,NO,54,27,78.1,South Bay,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,8,Standby,767,695,,,200,216,198,148,152,196,141,91,88,31,1,14,14,421,1,34,68,910,134,4,,1,,,,,,1,,1320,,,2,291,220,34,654,263,11,4,54,,93,31,52,29,566,44,1,79,3,1,59,161,57,217,,,196,9,,,21,,,18,901,244,35,15,,22,1,,1462,6,1154,302,12,4,,,,,1,1,,3,3,8,,,,,,5,,,11,,,,2,,,,,14,,,0,0,0,0,0,1,12,,,3,,,2,,1,1,2,1,,2,,,,,5,2,,,,,,,,,,,,16,,,,,,,,,16,,13,3,2011
106190053,190053,ST. MARY MEDICAL CENTER,"1050 LINDEN AVENUE, BOX 887",LONG BEACH,90801,Level II,NO,55,27,78.2kkk,South Bay,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,389,Basic,23967,20385,,,6549,4349,8105,6509,6676,5396,2654,1188,980,1946,,1354,11111,18811,281,597,538,11660,455,650,,72,1,1,,225,,,5,42898,45,,,22874,5884,1133,3822,10639,1915,157,618,3,2576,500,2195,768,8150,3301,39,2976,2089,81,1145,5202,2484,10153,,,2598,152,156,12,908,51,167,367,35032,3395,238,842,123,227,83,1,44352,91,37441,6820,3270,3134,,,161,532,548,884,1149,1045,807,954,201,123,,458,1499,1864,68,47,2446,22,124,275,198,369,317,62,8,4286,740,25,0,0,0,0,0,2306,2563,141,687,707,247,144,1105,4,769,424,313,558,702,147,111,171,15,131,818,183,508,1,53,,317,65,365,94,5,209,11,5025,93,10,99,59,14,35,3,,6404,42,5608,754,2011
106190066,190066,BELLFLOWER MEDICAL CENTER,9542 EAST ARTESIA BOULEVARD,BELLFLOWER,90706,,NO,50,27,78.2m,East,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,112,Basic,5146,3588,,,1782,1178,1692,1255,1016,692,327,165,101,526,,510,1483,5343,56,45,36,1261,87,326,24,7,6,1,4,24,,,,8223,32,,,4234,570,,2275,1655,680,17,129,4,485,73,580,143,2063,432,10,631,158,53,215,1318,376,1367,,,628,77,64,3,89,11,43,160,6471,926,50,148,8,46,10,,8734,32,7153,1549,925,968,,,47,283,289,324,381,226,144,198,1,,,177,440,667,,75,522,12,34,25,17,7,181,2,,1299,328,,0,0,0,0,0,814,693,2,204,180,62,24,136,,193,57,75,87,56,10,18,27,5,849,173,53,67,,1,,23,2,22,8,1,57,,1718,30,,2,17,5,7,1,,1893,13,1649,231,2011
106190081,190081,BEVERLY HOSPITAL,309 WEST BEVERLY BOULEVARD,MONTEBELLO,90640,,NO,58,30,78.2ww,East,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,224,Basic,13927,11586,,,4651,3318,4043,3298,2634,2239,1583,1371,1389,987,,362,264,22749,3,212,82,1841,1,1571,368,62,,7,11,,,151,8,23123,211,,,11443,6979,610,1675,4806,518,58,416,7,981,315,1202,339,5511,1470,25,1270,1889,20,867,2661,1122,6842,,,1967,47,197,17,325,32,81,317,19222,2204,132,703,70,128,71,,25513,338,20653,4522,3315,2794,,,100,247,355,552,849,959,1243,1556,90,158,,160,60,5146,70,10,663,,375,213,199,541,2,17,9,3782,971,,0,0,0,0,0,1752,3354,16,662,325,82,154,1179,4,926,365,350,629,423,75,156,134,9,67,752,160,637,,7,,289,23,395,5,7,195,15,5060,64,3,15,18,13,7,,,6109,304,3208,2597,2011
106190110,190110,BROTMAN MEDICAL CENTER,3828 DELMAS TERRACE,CULVER CITY,90231,,NO,47,26,78.2y,West,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,329,Basic,8896,8196,2,,1662,1757,2837,2536,2768,2704,1272,683,653,222,,520,6750,4138,57,440,95,5094,264,730,331,30,2,,69,49,8,120,,15401,63,27,,675,4217,467,6867,4868,240,123,328,1,662,165,597,274,3402,1694,14,987,1148,4,1309,1096,645,4405,,,1154,53,76,4,275,3,51,194,12683,1765,91,593,51,73,28,,17094,200,16207,687,3035,2838,,,50,254,358,826,1284,1075,843,1183,,,,79,2433,915,125,114,2188,19,170,304,114,376,315,11,342,2751,1487,3,0,0,0,0,0,1131,3243,36,1163,300,13,95,713,4,567,240,323,479,273,119,76,139,44,1469,636,123,560,,,,159,17,204,15,8,164,6,5174,56,1,6,43,4,15,1,,5873,98,5590,185,2011
106190125,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,1401 SOUTH GRAND AVENUE,LOS ANGELES,90015,Level II,NO,46,22,78.2ffff,Metro,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,288,Basic,27126,22010,1,,7157,6367,10261,7464,6486,5383,2292,932,582,2213,,138,17688,27048,64,696,728,2775,434,1239,91,98,3,,,58,,608,1,46585,10,,10,26429,3872,2165,2750,13921,2722,181,769,13,2830,1041,3597,1116,10393,2643,121,2742,2496,122,2552,4689,2076,9031,1,2,2902,69,126,18,1446,86,110,522,37739,3805,269,1625,102,264,54,,49137,33,35132,13972,4528,4734,,,533,1283,1137,1403,1694,1232,702,691,303,284,,37,3827,4694,161,34,497,12,261,343,208,143,27,51,8,7611,601,9,0,0,0,0,0,4407,2056,239,526,2034,469,182,1234,8,1283,424,459,318,1920,165,216,191,26,144,1021,291,834,12,65,,451,50,211,550,20,253,33,6843,251,32,464,41,18,43,2,,9262,21,6281,2960,2011
106190148,190148,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,90301,,NO,51,25,78.2q,South Bay,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Limited Liability Company,General Medical / Surgical,345,Basic,23675,17499,,,5132,5096,9357,6360,5984,5136,2017,535,297,1260,,164,25741,11646,,427,,3196,580,656,,,,2,,179,,493,1,39171,92,,,21287,1638,225,4283,13741,2531,144,627,4,1740,629,2154,1009,8651,2352,142,2770,3186,103,2200,3994,1396,7541,1,,2177,170,392,22,1382,25,156,354,31598,2866,154,1344,147,199,188,,41174,385,37104,3685,8975,6765,,,188,823,1006,2051,3199,2931,2774,2763,5,,,154,11309,2888,220,1,1159,9,734,835,421,1243,243,32,316,10296,1620,,0,0,0,0,0,5334,7724,,1350,1332,319,285,3478,5,1795,808,744,1698,976,379,262,1124,25,214,1806,211,1606,5,,,543,100,644,81,49,563,36,13321,160,8,59,58,19,94,5,,15740,96,13996,1648,2011
106190159,190159,TRI-CITY REGIONAL MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,90716,,NO,56,27,78.2n,East,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,107,Basic,3418,3054,,,691,782,1139,945,1026,859,462,252,242,74,,649,984,3012,,7,2,1818,138,100,,22,,2,,,,36,,5974,200,,,1949,962,324,1632,1605,88,30,236,3,506,150,381,83,1497,333,12,614,312,,347,714,312,854,,,507,11,51,1,97,17,,52,4855,636,48,142,34,17,4,,6472,58,5794,620,1059,957,,,7,52,85,193,373,401,360,545,,,,389,327,665,12,,616,7,262,35,48,116,22,5,48,710,770,,0,0,0,0,0,485,1252,14,156,109,4,39,298,1,308,142,197,269,126,29,34,29,3,9,289,97,142,,,,72,8,93,2,20,162,,1586,44,,4,6,15,3,1,,2016,84,1643,289,2011
106190170,190170,CHILDRENS HOSPITAL OF LOS ANGELES,4650 SUNSET BOULEVARD,LOS ANGELES,90027,Level I - Pediatric,NO,45,26,78.2g,Metro,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,603,Basic,26603,30783,,,35416,11328,332,53,28,26,6,1,1,10195,,1996,3627,45794,10,4517,,1442,109,1352,,5,,,,47,,159,,55710,4,,,52717,25,209,4435,,7,486,107,206,4402,434,2073,8890,8988,1375,111,6102,1189,555,301,11151,2361,8648,,,3889,95,327,8,132,1,387,563,47617,3318,165,227,18,586,53,,57386,407,30558,26421,2374,2868,,,1665,117,,,,,,,1078,2382,,314,406,3682,491,,349,,38,9,28,7,41,,17,5072,30,,0,0,0,0,0,4141,14,21,873,193,,390,99,135,912,171,168,196,829,147,131,328,44,22,1093,181,254,,142,,274,22,179,22,12,521,25,3936,111,25,48,9,55,3,,,5242,88,3054,2100,2011
106190197,190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,2623 EAST SLAUSON AVENUE,HUNTINGTON PARK,90255,,NO,46,30,78.2ccc,East,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,81,Standby,14683,11333,3,1,8832,4568,3605,2970,2076,1144,657,366,195,1607,,16,223,25680,2,59,5,35,337,361,3,3,,8,,1,,14,3,25265,25,,,19269,870,55,1830,3996,940,47,195,7,2263,219,2693,472,5223,547,64,1880,465,19,373,6536,1416,2659,,2,1708,55,158,3,234,13,36,297,20313,2623,141,240,16,174,9,,26020,53,9047,16920,2154,1365,,,186,279,347,483,491,485,509,386,119,234,,2,39,3469,4,,5,,102,132,18,26,2,20,1,3124,94,,0,0,0,0,0,1846,972,4,298,399,62,65,586,,816,256,256,208,85,42,39,62,7,26,596,101,303,,9,,57,4,90,4,3,6,3,3315,29,,1,2,1,4,,,3519,2,744,2773,2011
106190198,190198,LOS ANGELES COMMUNITY HOSPITAL,4081 EAST OLYMPIC BOULEVARD,LOS ANGELES,90023,,NO,58,30,78.2d,East,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Limited Liability Company,General Medical / Surgical,91,Standby,4466,4422,1,,2067,823,818,842,945,1138,765,532,437,522,,99,718,6914,7,53,28,1070,3874,315,,5,5,,1,1,,3,58,4603,24,,,4342,2084,109,1364,990,223,7,50,4,603,54,252,101,907,161,4,257,3909,3,84,1284,284,702,,,345,9,11,4,46,4,3,61,7931,372,24,52,1,19,7,,8889,33,4515,4341,1384,1567,,,60,113,151,369,648,482,312,288,209,319,,62,469,1691,33,16,676,4,91,104,31,16,44,1,1,1713,950,,0,0,0,0,0,1649,1200,20,33,49,29,40,247,1,345,133,312,133,161,111,21,112,15,80,703,162,342,,4,,107,2,59,16,9,55,3,2645,29,1,8,4,2,11,,,2951,16,1830,1105,2011
106190200,190200,SAN GABRIEL VALLEY MEDICAL CENTER,438 W. LAS TUNAS DRIVE,SAN GABRIEL,91776,,NO,49,21,78.2eeee,San Gabriel Valley,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Limited Liability Company,General Medical / Surgical,190,Basic,10868,8145,,,3589,2510,2591,2325,2135,1731,1195,971,1275,691,,4269,136,5514,5,360,9,8720,352,245,3,29,13,,,,185,114,7,17937,128,,,1859,2939,499,11029,2687,499,72,302,5,964,340,929,394,4860,978,31,1129,676,47,499,2246,841,4201,,,1688,52,123,8,206,7,175,241,13648,2091,93,481,55,127,18,,19013,1427,16330,1256,3017,2169,,,72,180,238,444,655,730,927,1925,11,4,,2312,101,1574,164,2,1030,3,145,119,169,563,145,80,23,2652,1289,1,0,0,0,0,0,888,2948,23,1106,221,87,109,884,2,703,265,370,643,343,82,178,141,9,73,629,123,535,,10,,259,13,297,2,16,238,7,4261,53,,3,16,17,4,,,5186,1377,3396,413,2011
106190240,190240,LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,90712,,NO,55,27,78.2n,South Bay,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,172,Basic,21156,15280,,,4276,4191,6088,5044,5161,4312,2634,2053,1908,769,,1957,11111,12052,30,1552,449,9285,517,1068,2,95,187,12,3,,,177,,34090,282,,3,3989,6814,771,17947,6915,863,165,998,6,2045,744,2378,1280,7762,3088,19,2334,1259,22,1061,3927,1477,7006,,2,2482,137,490,19,514,12,244,359,27635,3102,155,1005,73,182,27,,36436,193,34500,1743,3137,2730,,,37,272,365,673,1101,1120,1092,1207,,,,502,1442,1641,240,78,1958,6,150,136,245,662,50,7,27,3532,1053,5,0,0,0,0,0,1200,3142,49,1023,453,23,138,1374,1,890,396,358,343,482,101,130,134,5,82,754,138,518,,,,241,37,296,10,14,405,8,4738,44,2,17,22,21,12,,,5867,77,5323,467,2011
106190243,190243,DOWNEY REGIONAL MEDICAL CENTER,11500 BROOKSHIRE AVENUE,DOWNEY,90241,,NO,58,27,78.2eee,East,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,199,Basic,23579,17982,,,8491,6000,6290,5207,4139,3215,2391,2029,1939,1860,,417,2102,33364,26,1503,19,4130,424,1418,348,32,2,8,6,21,,95,1,39059,144,3,,18949,5693,799,9984,6136,1492,110,717,3,2639,436,2136,654,8968,2123,41,2392,1421,80,1076,5357,1643,10273,,,3228,85,449,13,452,2,266,347,31902,3323,201,941,88,226,38,,41561,121,33881,7559,4548,3530,,,53,303,474,748,1163,1491,1666,2163,17,,,211,437,5156,338,6,1921,9,327,166,216,779,28,55,74,5221,1208,4,0,0,0,0,0,1585,4052,35,1953,453,102,228,1566,1,1235,511,577,722,484,187,223,163,11,49,881,178,944,1,15,,356,25,449,7,57,328,5,6710,87,2,15,17,14,6,,,8078,99,5303,2676,2011
106190256,190256,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,90023,,NO,58,30,78.2d,East,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Partnership,General Medical / Surgical,102,Basic,7867,6812,,,3100,2085,2470,2077,1693,1303,681,361,286,623,,70,1230,12895,64,51,17,352,269,240,4,16,2,,,1,,63,,14052,32,,,6876,757,120,2690,4236,751,47,221,5,1325,220,785,350,2943,421,27,975,1610,44,962,2026,462,1505,,,826,44,153,3,186,,33,173,11261,1344,65,459,37,87,8,,14679,19,6451,8209,1470,1115,,,112,145,173,293,357,379,390,525,49,162,,14,162,2283,14,3,98,11,163,188,79,141,9,5,1,1542,457,,0,0,0,0,0,1065,1019,9,298,194,126,37,452,1,439,199,177,282,123,42,43,78,5,15,375,98,84,,9,,63,6,113,1,7,104,3,2171,98,1,3,4,5,6,,,2585,12,946,1627,2011
106190280,190280,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BOULEVARD,ENCINO,91436,,NO,41,23,78.2yy,San Fernando Valley,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,109,Basic,4150,3391,1,,622,635,1329,1213,1353,1041,511,341,430,67,,135,756,855,,426,4,5366,166,240,,8,,,,26,16,,2,7082,2,,,1662,1310,140,2387,2043,85,25,106,2,422,93,411,111,2073,634,9,563,487,1,310,715,323,1172,,,710,29,52,4,72,1,36,120,5239,840,15,375,10,31,8,,7542,162,7241,139,1019,641,,,8,54,71,147,215,235,298,632,,,,28,98,136,76,6,1316,,75,40,32,238,34,,101,762,378,,0,0,0,0,0,151,1184,15,228,82,3,12,192,,254,46,108,273,109,38,14,47,,244,110,29,181,,,,101,11,167,4,36,21,4,1264,30,,9,8,1,4,,,1660,91,1534,35,2011
106190298,190298,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,GLENDORA,91741,,NO,59,29,78.2qq,San Gabriel Valley,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,105,Basic,11955,9322,4,,3384,3243,3511,2603,2495,2272,1398,930,759,686,,507,702,9968,41,346,32,9685,248,179,1,25,7,3,1,2,,55,9,20705,46,,,2021,2673,88,12658,3841,468,90,323,8,943,268,995,370,5307,1186,90,1208,566,23,554,2390,886,5606,,,1619,48,146,8,207,2,80,267,15800,2135,157,651,44,95,22,,21281,385,18927,1969,1995,1680,,,69,213,221,359,556,574,777,902,3,1,,144,95,1096,32,3,2302,3,260,65,91,196,50,50,35,2257,671,,0,0,0,0,0,499,2033,48,878,217,49,50,639,2,625,181,261,312,307,66,104,86,1,33,431,81,444,3,,,188,21,174,3,8,80,8,3126,22,4,16,11,8,4,2,,3675,121,3231,323,2011
106190315,190315,GARFIELD MEDICAL CENTER,525 NORTH GARFIELD AVENUE,MONTEREY PARK,91754,,NO,49,24,78.2qqq,San Gabriel Valley,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Partnership,General Medical / Surgical,210,Basic,8542,7181,1,,2998,1752,2194,1730,1693,1427,1149,953,1090,738,,5901,315,8353,3,56,,1096,244,273,9,43,29,1,2,1,,120,,14943,59,,,1951,2742,502,8430,2099,643,57,404,2,762,218,882,169,3560,680,29,781,224,47,452,1741,633,4438,,2,1402,38,140,9,147,18,88,203,11620,1444,84,398,30,84,19,,15724,1519,12027,2178,3168,2754,,,86,176,245,495,711,916,1223,2006,13,51,,3737,148,1514,4,,519,,118,155,245,1234,345,7,,3068,749,1,0,0,0,0,0,1515,3045,66,982,314,118,139,1391,5,813,282,327,447,362,96,230,123,8,47,839,120,564,,11,,286,18,196,10,13,236,9,5051,55,2,11,13,19,2,1,,5922,1425,4000,497,2011
