oshpd_id,oshpd_id9,fac_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Other_Care,Residential_Care_Facility,Routine,SN_IC_Care,Hospice_Care,Psychiatric_Care,Critical_Access_Hospital,Childrens_or_Cancer_Center,Prison_Jail,Not_Defined_Elsewhere,Other_Invalid_Blank,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Native_American_Es,a_Other_Race,a_Unknown_Race,a_White,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Invalid_Blank,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Private_Coverage,a_Uninsured,a_Other_Payer,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,datayear
106190110,106190110,190110,BROTMAN MEDICAL CENTER,3828 DELMAS TERRACE,CULVER CITY,90231,,NO, 78.2y, West, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,329,Basic,9169,8034,,,1684,1712,2836,2552,3035,2357,1132,782,813,299,1,378,6138,3925,51,935,723,5053,306,454,49,1,4,,14912,154,1,5,0,968,0,349,,41,5322,469,6995,4376,257,,68,353,3,693,273,767,410,4250,937,38,1442,781,3,2139,1624,754,2411,1228,42,120,8,294,1,109,148,12536,1793,82,613,95,74,60,,17203,2343,1842,,,47,153,218,555,713,671,700,1128,,,,3,1655,634,4,208,265,1416,123,156,170,301,145,5,184,2031,1067,3,0,0,0,0,0,780,2536,597,238,34,24,91,790,2,542,247,221,297,264,75,91,94,7,439,543,95,363,,,178,13,133,8,1,150,5,3595,33,1,18,29,3,18,,,4185,2008
106190125,106190125,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,1401 SOUTH GRAND AVENUE,LOS ANGELES,90015,Level II,NO, 78.2ffff, Metro, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,285,Basic,24491,20917,10,,7008,6188,8800,6453,6252,4833,1997,913,679,2287,8,252,16971,24302,68,597,917,2311,46,950,156,2,,2,42941,,,46,1,953,0,258,63,23600,4219,3385,3228,10986,2389,1,242,841,11,2328,971,2636,1104,10331,2365,137,2422,2970,67,2426,4632,1651,7894,2644,83,82,30,1504,43,146,466,33986,4023,109,1908,95,283,16,,45418,4163,4627,2,,520,1176,1048,1422,1654,1050,739,704,242,237,,78,3785,4228,18,189,59,435,305,338,275,228,90,78,28,6737,696,17,0,0,0,0,0,4129,1976,540,1828,319,449,121,1254,6,1193,449,435,476,1847,109,172,191,12,116,940,180,775,10,57,471,26,282,517,29,334,27,6304,210,27,450,50,11,52,2,,8792,2008
106190148,106190148,190148,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,90301,,NO, 78.2q, South Bay, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Limited Liability Company,General Medical / Surgical,317,Basic,24851,18895,1,,5157,5130,7976,6160,6621,5256,2763,1779,1327,1577,1,176,27751,10474,264,2327,303,2452,565,828,286,,2,1,41337,157,3,245,0,96,0,84,143,12746,5863,676,11524,12938,1624,4,156,1167,14,1882,767,2163,907,9390,2687,99,2664,2339,134,1951,4656,1600,9543,2640,183,443,33,1365,42,288,368,32777,3230,155,1652,165,220,186,,43747,8037,5753,,,147,655,847,1664,2566,2657,2552,2701,1,,,141,9604,2243,101,557,86,1058,364,353,475,1188,351,35,28,9070,1914,12,0,0,0,0,0,4203,6933,1534,1044,76,293,278,3467,7,1438,755,598,1289,880,259,343,635,15,121,1754,175,1482,,1,482,74,511,73,29,596,15,11655,164,15,56,44,16,51,8,1,13790,2008
106190155,106190155,190155,CENTURY CITY DOCTORS HOSPITAL,2070 CENTURY PARK EAST,LOS ANGELES,90067,,No, 78.2w, West, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Partnership,General Medical / Surgical,142,Basic,1645,1572,,,166,256,581,552,577,455,237,160,224,9,,127,331,350,,108,,2301,6,114,5,,,1,3055,2,,1,0,13,0,20,,133,503,291,1716,574,13,,7,37,,131,26,96,41,1266,185,,166,291,,145,225,102,486,421,18,25,,36,3,11,49,1815,575,15,210,3,34,2,,3217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008
106190159,106190159,190159,TRI-CITY REGIONAL MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,90716,,NO, 78.2n, East, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,137,Basic,3062,2998,,,588,664,1008,849,1025,793,441,280,299,113,,666,908,2705,,1,,1780,123,120,27,2,,,5505,251,7,24,0,,0,,1,1561,1082,806,1351,1260,67,,26,257,4,460,248,308,84,1589,360,12,424,112,,410,644,274,781,471,11,65,2,220,15,3,69,4317,613,35,186,23,24,6,,6060,1123,970,,,17,51,97,209,378,405,427,509,,,,359,297,736,,10,,691,258,50,70,128,7,,22,743,815,,0,0,0,0,0,634,1176,138,119,26,4,38,262,,317,126,216,246,135,42,42,38,2,8,355,97,165,,,85,6,119,1,16,31,1,1779,30,,2,6,16,,1,,2093,2008
106190170,106190170,190170,CHILDRENS HOSPITAL OF LOS ANGELES,4650 SUNSET BOULEVARD,LOS ANGELES,90027,Level I - Pediatric,NO, 78.2g, Metro, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,286,Basic,24667,30474,,,32329,10829,221,34,28,12,4,,1,11682,1,2513,4871,43800,8,2536,16,1397,323,257,5,102,,1,54233,6,,209,0,,0,,5,49835,21,216,5069,,12,,490,108,225,4282,420,2140,7831,8450,1351,135,5538,910,418,250,10862,2436,9283,3537,83,134,8,154,8,86,368,46573,3355,150,287,24,345,28,1,55141,2182,2748,,,1495,73,,,,,,,1127,2235,,300,484,3393,,359,,394,24,4,42,38,43,,5,4761,13,,0,0,0,0,0,3968,14,917,9,22,,356,125,143,677,220,183,253,923,144,135,194,28,11,895,168,272,,203,279,21,366,35,13,10,23,3904,91,25,98,9,54,2,,,4930,2008
106190197,106190197,190197,COMMUNITY AND MISSION HSP OF HNTG PK - SLAUSON,2623 EAST SLAUSON AVENUE,HUNTINGTON PARK,90255,,NO, 78.2ccc, East, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,81,Standby,12637,10747,,,7986,4004,3240,2517,1723,1015,535,311,144,1907,2,4,40,23184,2,14,19,121,116,1033,3,3,,,22111,,,3,0,,0,13,102,16278,1253,175,2132,3546,1174,3,87,193,5,1988,195,1591,554,4833,658,26,1995,261,10,466,5095,1217,3033,1555,32,217,9,177,4,13,224,18185,2476,79,212,12,172,17,,23384,2096,1307,,,244,310,334,464,489,393,405,303,153,308,,4,38,3313,,16,2,30,41,167,20,22,6,1,,3094,52,,0,0,0,0,0,1987,757,267,383,9,53,49,388,3,877,260,312,75,80,37,23,45,1,12,649,118,411,,10,43,8,54,3,6,20,4,3227,22,,7,1,2,6,,,3403,2008
106190198,106190198,190198,LOS ANGELES COMMUNITY HOSPITAL,4081 EAST OLYMPIC BOULEVARD,LOS ANGELES,90023,,NO, 78.2d, East, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Limited Liability Company,General Medical / Surgical,100,Standby,4140,3232,,,2044,870,809,734,585,548,370,337,309,766,,51,239,6794,,12,11,265,49,169,1,,1,4,7129,5,1,4,0,,0,,9,3453,990,134,1881,914,387,,4,32,,602,17,231,53,912,140,3,249,2374,14,113,1174,229,838,315,4,20,1,40,2,8,45,6442,404,19,40,2,21,9,,7372,1247,1015,,,108,86,114,193,272,261,267,255,308,398,,27,143,1944,,3,6,139,63,103,17,39,21,,,1828,190,1,0,0,0,0,0,1299,761,122,50,30,72,22,232,2,368,87,192,96,74,26,16,25,4,17,717,97,200,,15,59,3,25,10,6,40,,2084,25,,1,3,1,5,,,2262,2008
106190200,106190200,190200,SAN GABRIEL VALLEY MEDICAL CENTER,438 W. LAS TUNAS DRIVE,SAN GABRIEL,91776,,NO, 78.2eeee, San Gabriel Valley, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Limited Liability Company,General Medical / Surgical,190,Basic,10323,8611,,,3311,2404,2573,2447,2088,1689,1126,992,1300,1003,1,3703,310,8053,59,1508,21,5280,241,434,48,,,28,18018,81,,42,0,41,0,1,,1991,2593,565,10952,2833,598,,40,322,5,1087,305,779,448,4925,836,24,1069,762,74,456,1613,732,4859,1600,39,91,17,229,3,148,219,13499,2236,74,552,93,109,25,,18934,2492,1923,1,,43,107,209,277,425,565,993,1791,6,,,1738,69,1221,2,86,6,1294,131,95,238,447,66,79,28,2068,1264,,0,0,0,0,0,734,2160,1388,119,15,58,82,926,2,582,228,306,555,310,62,133,102,6,28,648,79,303,,6,262,11,321,5,4,66,3,3605,42,1,16,16,54,9,1,,4416,2008
106190240,106190240,190240,LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,90712,,NO, 78.2n, South Bay, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,172,Basic,16876,11739,6,,3656,3403,4558,3981,3977,2991,1902,1689,1746,713,5,1718,8302,9483,30,553,99,8436,252,635,48,40,1,12,27432,124,9,61,0,3,0,3,1,3498,5591,795,13828,4909,697,5,100,725,4,1392,522,1764,969,7126,1809,30,1929,492,16,647,3078,1082,6234,2091,80,341,15,393,9,155,236,20909,3256,120,789,74,124,29,,28621,2882,2171,,,35,184,279,599,840,856,1029,1231,,,,409,1188,1355,8,118,16,1959,108,120,204,459,123,22,45,2978,988,6,0,0,0,0,0,1142,2577,1010,298,26,32,121,1237,,760,354,329,217,424,73,144,108,6,56,600,117,475,,,240,26,267,11,23,338,12,4028,49,2,15,21,11,10,,,5053,2008
106190243,106190243,190243,DOWNEY REGIONAL MEDICAL CENTER,11500 BROOKSHIRE AVENUE,DOWNEY,90241,,NO, 78.2eee, East, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,199,Basic,22054,17184,,,7186,5192,5922,5027,4153,3245,2360,2027,2042,2084,,534,1988,29786,5,1827,22,5076,450,1524,14,1,1,,36608,104,3,90,0,165,0,35,243,14342,6083,1178,12735,4900,1477,,97,753,10,2148,445,1925,412,9471,2065,49,2234,1005,95,962,4576,1560,9954,3235,124,523,20,400,2,180,354,29493,3561,129,895,73,210,39,,39238,4853,3868,,,101,366,450,755,1169,1446,1845,2559,30,,,267,487,5051,4,503,5,2404,383,156,274,807,31,24,83,5454,1504,5,0,0,0,0,0,1747,4985,1587,363,39,102,180,2015,5,1300,461,536,606,530,193,252,155,6,60,1045,209,1044,1,21,371,29,418,9,15,351,12,7339,97,6,19,22,32,1,,,8721,2008
106190256,106190256,190256,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,90023,,NO, 78.2d, East, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Partnership,General Medical / Surgical,102,Basic,7745,6565,,,3369,1946,2479,2052,1458,975,491,399,241,900,,74,297,13488,79,51,18,303,176,187,28,,,,13850,16,,52,0,1,0,,,5137,733,912,3258,4270,810,,32,193,1,1076,239,576,539,2670,423,12,1094,1041,69,656,2283,553,2043,920,40,146,8,211,10,26,166,10969,1271,53,362,18,101,9,,14310,1482,845,,,142,303,214,230,303,278,307,360,56,134,,8,93,2123,14,11,1,77,70,119,68,35,10,36,3,1716,270,,0,0,0,0,0,1133,767,246,180,1,410,23,381,2,369,142,134,114,58,31,33,45,1,5,372,88,115,,4,39,3,84,1,7,45,2,2119,11,,4,6,3,3,,,2327,2008
106190280,106190280,190280,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BOULEVARD,ENCINO,91436,,NO, 78.2yy, San Fernando Valley, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - individual,General Medical / Surgical,109,Basic,4557,3932,,,656,720,1502,1449,1428,993,527,470,672,71,1,123,650,544,2,274,5,6891,177,132,10,,1,1,8161,3,,3,0,,0,,1,542,1524,204,4269,1950,105,,23,155,1,427,109,399,142,2621,728,5,479,425,1,289,702,367,1511,866,18,139,2,81,,40,132,5597,1113,37,378,24,52,10,,8489,1473,912,,,11,72,94,180,214,258,406,1150,,,,29,69,73,,68,3,2143,107,56,81,324,67,14,100,1009,627,,0,0,0,0,0,149,1706,423,62,45,3,37,334,1,278,145,193,295,230,55,29,102,,96,320,65,202,,,185,6,88,3,,57,3,1933,39,1,9,4,5,7,45,,2385,2008
106190298,106190298,190298,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,GLENDORA,91741,,NO, 78.2qq, San Gabriel Valley, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,105,Basic,10982,9303,2,,2945,2867,3067,2524,2562,2086,1345,1174,1064,653,,437,613,8054,38,216,7,10922,350,200,30,,,,19582,66,6,53,0,,0,,,1614,3238,888,11914,2633,335,,41,369,6,934,269,1023,507,5800,1069,17,1184,681,18,550,2099,885,4500,1854,59,155,11,210,21,97,243,14322,2406,130,598,78,77,26,,20287,2103,1542,,,49,173,200,339,481,558,788,1057,,,,126,83,1010,4,19,4,2399,244,57,132,102,44,49,9,2348,659,1,0,0,0,0,0,383,2172,879,185,26,24,44,778,,614,150,178,296,319,78,95,60,,28,437,76,468,,,204,4,119,3,,138,7,3082,28,6,19,23,8,3,1,,3645,2008
106190315,106190315,190315,GARFIELD MEDICAL CENTER,525 NORTH GARFIELD AVENUE,MONTEREY PARK,91754,,NO, 78.2qqq, San Gabriel Valley, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Partnership,General Medical / Surgical,210,Basic,7432,6685,,,2897,1681,1933,1734,1542,1187,792,811,727,813,,5615,130,7345,,23,3,1001,296,697,31,1,,1,13017,10,1,51,0,8,0,4,,1812,2248,743,7664,1650,609,,38,266,1,702,161,793,149,3496,497,25,814,286,63,315,1726,517,3659,1242,48,80,6,156,2,89,211,10063,1548,55,419,51,117,30,,14117,3233,2744,,,62,138,222,395,739,881,1447,2088,5,,,4056,95,1306,,3,2,515,87,181,257,1324,279,4,2,3062,781,,0,0,0,0,0,1499,3156,1067,237,18,57,102,1559,4,795,337,298,461,341,102,242,89,1,35,832,127,591,,4,339,21,224,11,11,269,7,4981,62,,12,15,25,,,,5977,2008
106190323,106190323,190323,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,1509 EAST WILSON TERRACE,GLENDALE,91206,,NO, 78.2ee, San Fernando Valley, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,357,Basic,14470,11917,,,3464,2949,4081,3725,3467,2859,1880,1551,1483,925,3,1369,756,7751,15,,11,16485,537,617,54,,,,24662,158,,,0,264,0,94,1,8450,4673,600,8628,4036,931,,47,617,5,1302,328,1435,638,6371,1287,37,1242,730,44,1262,2592,1114,6405,1996,84,197,12,235,3,3,253,19753,2826,85,713,30,178,19,,26387,5610,5132,,,144,608,824,1339,1759,1534,1887,2632,14,1,,754,332,1775,16,1,134,7730,200,343,384,1053,450,,376,6342,1588,6,0,0,0,0,0,3042,4612,2383,551,154,121,158,2109,3,1180,430,508,639,757,247,261,297,22,1580,1032,218,1167,1,12,537,38,524,25,14,37,21,9193,135,12,32,120,14,34,6,,10742,2008
106190328,106190328,190328,EAST VALLEY HOSPITAL MEDICAL CENTER,150 WEST ROUTE 66,GLENDORA,91740,,NO, 78.2qq, San Gabriel Valley, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Partnership,General Medical / Surgical,107,Basic,1858,1715,,,589,476,614,526,455,354,226,110,64,159,,287,3,1501,1279,,24,479,55,189,7,8,3,25,3231,28,4,2,0,,0,,21,1729,777,42,257,768,142,,13,52,1,262,66,183,95,890,203,5,277,78,16,130,499,162,499,315,7,22,3,52,10,14,44,2574,391,22,81,11,20,7,,3573,844,649,,,12,55,64,106,257,302,350,347,,,,72,106,374,3,138,26,774,38,35,29,44,44,9,124,466,703,1,0,0,0,0,0,284,1099,79,26,5,54,15,136,,129,61,78,127,63,32,13,26,2,473,174,37,73,,,52,,75,5,8,32,1,1274,33,,1,8,,4,,,1493,2008
106190352,106190352,190352,GREATER EL MONTE COMMUNITY HOSPITAL,1701 SANTA ANITA AVENUE,SOUTH EL MONTE,91733,,NO, 78.2yyy, San Gabriel Valley, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Limited Liability Company,General Medical / Surgical,104,Basic,7211,6617,,,3133,2079,2336,1925,1614,887,482,275,149,946,2,540,180,11828,1,79,19,1181,202,615,37,,1,,12870,8,,93,0,2,0,,,2802,578,474,6828,3146,628,1,44,176,2,710,199,583,598,3632,511,17,1015,468,20,565,1640,549,2470,1100,46,117,7,241,78,53,184,9714,1600,96,397,64,107,24,,13828,1350,1259,,,95,158,162,275,333,354,445,462,137,188,,367,46,1850,,33,3,310,182,115,66,114,35,12,2,1632,451,,0,0,0,0,0,1259,873,283,180,14,90,24,427,1,356,219,153,356,163,20,29,55,1,22,492,94,94,,13,117,13,110,3,11,89,15,2176,33,3,14,12,5,7,1,,2609,2008
106190382,106190382,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 NORTH VERMONT AVENUE,LOS ANGELES,90027,,NO, 78.2g, Metro, 11 - Los Angeles, Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,345,Basic,13478,12328,,,585,2067,6039,5078,4839,3304,1740,1104,793,256,1,1960,3518,11562,8,2924,22,5812,316,1265,67,,,,23812,127,1,214,0,2,0,2,,5208,3263,4275,6676,6384,1864,1,84,545,9,1423,332,1626,461,5490,1507,78,1085,2306,47,1561,1811,949,4627,1514,60,247,12,621,31,94,214,19685,2152,82,781,103,126,83,1,25806,3307,3105,,,80,378,495,794,962,1032,1132,1515,9,15,,1148,741,2070,1,936,10,1506,167,287,369,258,276,7,83,3830,1134,1,0,0,0,0,0,2549,2616,357,325,565,136,93,1186,2,1069,339,386,595,533,108,169,154,5,69,834,152,578,,4,306,20,285,27,23,308,15,5233,83,5,27,33,24,22,1,,6412,2008
106190385,106190385,190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI STREET,MISSION HILLS,91345,Level II,NO, 78.2hh, San Fernando Valley, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,206,Basic,27772,21942,3,,9894,6407,7839,6285,5297,3863,2587,2238,2116,3191,,804,1862,30374,90,8360,174,8053,648,248,75,1,11,,48480,96,4,105,0,5,0,44,,20362,6191,831,15184,7149,2012,,140,753,12,3235,507,2935,1448,11357,2321,60,3370,1245,199,1033,7299,1964,9827,2997,154,516,47,545,17,261,542,37801,4944,175,1375,73,238,32,,49717,4903,4800,1,,302,718,678,1155,1328,1541,1780,2191,7,4,,365,452,3935,19,1350,6,3577,233,163,338,1270,231,25,89,6148,1195,12,0,0,0,0,0,1758,4761,2451,626,108,184,179,1839,5,1439,360,535,485,1689,156,339,217,14,69,923,204,1061,1,5,573,35,833,196,47,239,24,6924,131,33,581,42,25,14,7,,9704,2008
106190392,106190392,190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,1225 WILSHIRE BOULEVARD,LOS ANGELES,90017,,NO, 78.2ffff, Metro, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,380,Basic,12236,10906,1,,1500,1905,4869,3832,3587,2887,1795,1190,940,636,2,2282,4091,11284,29,138,36,5283,415,670,72,,,,21711,1,2,271,0,,0,,1,4528,3115,634,6712,8154,1104,1,64,562,4,1557,433,1210,347,5408,1362,67,1275,504,46,1424,2130,851,4794,1643,41,102,26,720,5,57,204,17158,2041,94,771,114,98,69,,23143,3102,2804,,,93,339,401,593,785,1024,1193,1470,8,,,1389,1079,2102,5,22,10,1299,65,153,238,365,121,49,13,3765,1137,,0,0,0,0,0,1078,2814,1345,636,33,106,82,1455,4,824,388,325,384,451,120,170,136,14,56,626,129,629,1,6,319,31,259,19,10,64,15,5068,43,5,17,20,12,23,1,,5906,2008
106190400,106190400,190400,HUNTINGTON MEMORIAL HOSPITAL,100 W. CALIFORNIA BOULEVARD,PASADENA,91105,Level II,NO, 78.2mm, San Gabriel Valley, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,582,Basic,23865,20191,1,,6026,4968,7213,6383,5605,4360,2990,2250,2341,1921,,2595,7876,14457,54,2063,98,16914,187,309,87,393,2,13,42080,96,,77,0,363,0,143,307,11519,5478,1303,18691,7066,1504,,138,865,19,2591,527,2389,915,11700,2100,78,2422,1641,72,1826,4472,1654,9144,3997,130,309,30,606,12,278,457,31033,4993,199,1633,87,257,36,,44057,8310,7119,,,474,1005,1152,1953,2236,2117,2231,3531,278,452,,1078,2395,3756,14,502,27,7657,283,248,391,1841,433,,300,9815,2108,10,0,0,0,0,0,2921,7031,4202,1159,116,180,225,2567,23,2087,656,750,925,2052,334,395,525,31,1109,1627,326,1569,1,47,970,170,1408,137,126,317,73,11217,305,54,381,180,66,23,1,1,15429,2008
106190413,106190413,190413,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,210 W. SAN BERNARDINO ROAD,COVINA,91723,,NO, 78.2qq, San Gabriel Valley, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,138,Basic,6907,5500,,,1296,1612,1830,1712,1696,1374,940,805,888,252,2,573,746,6314,11,88,9,4666,279,335,24,1,,9,11491,75,1,137,0,,0,2,53,1332,2649,358,5906,2162,217,2,38,239,2,763,156,591,184,3064,881,7,607,441,6,437,1183,609,2980,1042,38,130,11,145,6,31,156,9023,1283,55,337,65,67,18,,12407,3164,2773,,,88,343,492,733,829,924,1116,1412,,,,436,305,2308,3,37,1,2847,197,185,200,362,109,72,150,3613,1045,4,0,0,0,0,0,1514,3187,872,340,24,18,82,1178,3,686,217,256,344,443,109,139,127,10,994,603,126,602,,,228,30,291,10,10,96,7,5086,60,2,16,87,8,4,2,,5937,2008
106190422,106190422,190422,TORRANCE MEMORIAL MEDICAL CENTER,3330 WEST LOMITA BOULEVARD,TORRANCE, 90505-5073,,NO, 78.2aaaa, South Bay, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,361,Basic,26196,20599,,,5828,5315,5983,5991,6411,5134,3479,3641,3630,1378,5,5305,5836,229,1124,1492,249,32560,380,200,66,1,,949,45106,,6,58,0,,0,,29,3154,5996,851,32548,4246,631,,152,1115,20,1230,491,1863,315,11501,3704,53,1914,745,27,797,2943,1687,17607,5494,111,478,61,371,6,8,323,32371,6113,31,1258,92,46,31,1,46795,6621,5600,,,254,456,621,1103,1546,1766,2622,3415,190,248,,1585,1194,2210,23,294,28,6887,106,112,455,852,136,14,131,8011,2404,,0,0,0,0,0,736,5450,5621,315,99,100,205,2399,8,2084,684,737,677,1147,285,385,209,18,88,1607,340,1212,1,35,725,61,700,14,26,686,31,9629,180,13,38,52,26,29,11,,12221,2008
106190429,106190429,190429,KAISER FND HOSP - SUNSET,4867 SUNSET BOULEVARD,LOS ANGELES,90027,,NO, 78.2g, Metro, 11 - Los Angeles, Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,439,Basic,29064,27038,4,,4071,5064,8451,8692,8642,8377,5441,3970,2625,773,,5372,6840,24248,66,2839,3196,13545,179,647,27,106,45,,54431,10,1,256,7,92,0,301,4,3413,8699,273,37565,6156,876,,207,1325,20,3264,1209,3312,939,13685,3773,147,3268,1999,33,2256,5266,2748,11779,3846,88,601,23,536,143,,613,40965,6965,165,1581,123,342,115,,56106,4486,5007,,,339,519,686,1067,1645,1748,1615,1558,97,219,,1236,1468,3463,20,166,81,3059,193,213,250,1128,102,6,53,7049,495,4,0,0,0,0,0,403,3923,4766,382,19,92,205,1877,22,1896,417,603,560,854,258,387,233,23,122,834,226,874,,10,364,38,528,28,21,,11,8269,123,5,37,42,10,17,,,9493,2008
