oshpd_id9,oshpd_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Other_Unknown,Prison_Jail,Psychiatric_Care,Residential_Care_Facility,Routine,SN_IC_Care,Childrens_or_Cancer_Center,Home_Health_Service,Not_Defined_Elsewhere,Other_Care,Hospice_Care,Critical_Access_Hospital,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,Dx_Invalid,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,All_Other,English,Spanish,a_Sex_Female,a_Sex_Male,a_sex_Other,a_Sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Other_Race,a_Unknown_Race,a_White,a_Native_American_Es,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Unknown,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Dx_Invalid,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_Uninsured,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Congenital_anomalies,a_Dx_Perinatal_disorders,a_Dx_Births,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Natural_Environment,a_EC_Undetermined,a_EC_War,a_EC_Fire_Accidents,Inpatient_from_ED,a_All_Other,a_English,a_Spanish,datayear
106190243,190243,DOWNEY REGIONAL MEDICAL CENTER,11500 BROOKSHIRE AVENUE,DOWNEY,90241,,NO,78.2eee,East,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,199,Basic,22334,16785,,,7828,5598,6056,5031,3894,2921,2276,1885,1726,1904,,428,2048,30807,11,1654,18,4153,404,1379,35,51,,135,,36562,155,387,3,1,,7,,17418,5242,813,9960,5686,1506,,138,658,10,2331,399,2028,474,8743,2003,46,2256,1263,78,1047,5007,1589,9542,1,3169,108,469,11,424,2,215,319,29559,3441,150,889,90,225,48,,39119,112,31688,7319,4460,3287,,,53,320,481,749,1080,1328,1579,2137,20,,,201,437,4781,353,10,1960,5,335,161,188,742,37,22,117,4966,1175,4,0,0,0,0,0,0,1576,3930,44,1759,438,105,197,1637,1254,449,502,615,477,166,168,146,2,39,865,187,915,3,20,,370,14,324,11,44,303,6520,102,2,12,14,14,9,8,,,7747,95,5140,2512,2010
106190256,190256,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,90023,,NO,78.2d,East,11 - Los Angeles,LOS ANGELES,General Acute Care,Investor - Partnership,General Medical / Surgical,102,Basic,8010,7130,,,3159,2241,2548,2228,1693,1186,658,370,296,761,,86,756,13805,68,45,26,354,223,228,14,1,,87,,14567,19,1,,,,,,6738,775,139,2834,4654,768,,35,226,2,1324,249,709,321,3091,418,20,1033,1402,59,1089,2169,542,1683,,931,30,126,4,201,5,26,164,11516,1407,75,489,57,96,13,,15140,24,6511,8605,1749,1231,,,168,275,220,305,427,347,432,477,105,224,,36,166,2662,11,9,83,13,137,180,107,122,22,11,3,2028,367,3,0,0,0,0,0,0,1314,991,5,418,252,277,49,493,473,212,183,265,110,36,49,42,1,27,487,91,170,,15,,73,5,150,3,7,49,2591,73,1,4,9,2,4,9,,,2980,32,1143,1805,2010
106190280,190280,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BOULEVARD,ENCINO,91436,,NO,78.2yy,San Fernando Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,109,Basic,4191,3502,,,592,578,1336,1384,1338,1054,546,340,440,85,,142,713,791,3,503,2,5539,152,310,12,17,10,1,4,7186,,,,,1,,,1593,1277,241,2429,2153,99,,16,105,,420,59,385,114,2044,674,14,609,577,1,285,689,318,1284,,665,35,63,,64,,38,125,5392,887,27,327,22,35,13,,7693,196,7368,129,1190,811,,,10,62,99,176,283,273,368,730,,,,39,118,138,130,5,1571,,73,60,45,254,62,,102,883,522,,0,0,0,0,0,0,230,1344,10,309,108,3,19,243,276,52,119,350,172,64,20,100,1,189,144,48,201,,,,143,9,175,2,20,37,1547,29,1,11,7,4,8,7,,1,2001,104,1874,23,2010
106190298,190298,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,GLENDORA,91741,,NO,78.2qq,San Gabriel Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,105,Basic,10810,8782,3,,3269,3087,3218,2486,2495,2017,1165,658,574,626,,475,684,8551,19,210,19,9637,223,154,35,,,71,3,19079,29,,,,,1,,2055,2052,10,12210,3268,378,,32,236,4,853,213,951,362,5176,1065,19,1176,485,31,574,2342,929,4769,,1577,57,137,9,224,2,75,264,14146,2261,129,547,50,100,17,,19595,312,17688,1595,2095,1695,,,53,201,234,390,592,611,724,985,,,,138,95,1052,18,13,2471,3,248,82,135,205,78,59,27,2304,651,1,0,0,0,0,0,0,461,2152,32,942,203,44,66,629,707,182,198,383,326,64,92,87,2,34,447,84,444,1,,,203,24,164,4,9,73,3220,27,4,19,23,7,6,7,,,3790,110,3360,320,2010
106190315,190315,GARFIELD MEDICAL CENTER,525 NORTH GARFIELD AVENUE,MONTEREY PARK,91754,,NO,78.2qqq,San Gabriel Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Investor - Partnership,General Medical / Surgical,210,Basic,7843,6622,,,2682,1607,2007,1636,1609,1359,956,884,888,837,,5521,263,7178,3,262,4,1234,256,304,38,,,101,2,13679,68,16,,,1,,,2027,2439,371,7645,1983,600,,44,330,4,525,170,689,238,3531,594,39,740,246,77,469,1363,582,4224,,1300,34,67,3,143,1,97,187,10584,1464,58,384,34,97,12,,14465,1288,11338,1839,3118,2769,,,79,174,265,452,740,853,1300,1999,13,12,,3822,133,1440,19,,473,,110,148,227,1268,310,2,1,2998,819,4,0,0,0,0,0,0,1539,2980,54,1021,293,120,130,1413,767,336,317,453,353,101,239,108,5,50,801,119,563,2,10,,292,19,252,6,6,278,4883,70,,13,21,37,7,2,,1,5887,1456,4023,408,2010
106190323,190323,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,1509 EAST WILSON TERRACE,GLENDALE,91206,,NO,78.2ee,San Fernando Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,357,Basic,15153,12082,3,,3473,3137,4374,3792,3441,3061,2032,1634,1458,828,8,1340,749,8092,16,,15,17026,560,554,48,9,72,,,25292,228,474,,,1,,,9952,4406,590,8207,4083,962,1,69,678,2,1498,353,1465,563,6566,1420,36,1220,722,55,1457,2725,1096,6350,,2166,86,267,9,249,6,10,249,20308,2841,95,754,32,158,8,,27238,1875,24192,1171,6415,5936,,,154,685,906,1387,1961,1867,2244,3141,5,1,,801,352,2197,4,124,8872,1,252,449,367,1140,629,,266,7601,1645,2,0,0,0,0,0,0,3574,5437,303,2434,603,141,162,2627,1248,414,630,853,866,303,332,356,18,1740,1086,229,1337,4,5,,620,48,523,24,39,90,10635,102,7,39,108,20,13,81,,2,12351,2243,9373,735,2010
106190328,190328,EAST VALLEY HOSPITAL MEDICAL CENTER,150 WEST ROUTE 66,GLENDORA,91740,,NO,78.2qq,San Gabriel Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Investor - Partnership,General Medical / Surgical,107,Basic,1581,1323,,,459,402,512,436,389,331,139,66,53,117,,225,4,1381,1014,,6,274,113,196,2,5,10,6,37,2458,72,,,,5,,,1517,543,36,202,606,118,,5,37,4,209,45,160,65,639,177,5,233,100,3,149,382,151,422,,241,11,31,1,38,42,12,37,2141,244,26,56,4,12,8,,2904,23,2368,513,789,685,,,12,46,60,91,234,352,319,360,,,,99,128,432,98,3,713,1,49,20,30,56,29,4,91,296,899,,0,0,0,0,0,0,279,1143,,28,24,51,18,159,139,61,90,92,27,24,13,48,,452,189,46,65,,,,43,2,77,2,15,57,1236,35,,1,3,1,1,1,,,1474,28,1324,122,2010
106190352,190352,GREATER EL MONTE COMMUNITY HOSPITAL,1701 SANTA ANITA AVENUE,SOUTH EL MONTE,91733,,NO,78.2yyy,San Gabriel Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Investor - Limited Liability Company,General Medical / Surgical,104,Basic,7519,6923,,,3436,2301,2540,1992,1570,941,415,236,172,839,,694,180,12819,1,63,4,681,407,217,27,1,1,102,4,13672,11,,,,,,,3039,571,642,7618,2572,570,,26,142,2,743,154,681,252,2809,1225,4,1133,443,11,680,1999,455,3113,,938,37,27,9,261,36,23,263,10891,1209,55,508,35,134,16,,14442,148,8865,5429,1518,1198,,,128,237,295,325,400,345,311,341,128,206,,328,51,2077,25,,235,,185,118,62,101,24,11,2,1877,336,,0,0,0,0,0,0,1427,725,78,221,265,193,32,344,367,190,162,300,62,31,26,100,1,20,577,99,199,3,8,2,71,7,61,6,,32,2476,19,2,10,7,2,9,13,,1,2716,108,1586,1022,2010
106190382,190382,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,1300 NORTH VERMONT AVENUE,LOS ANGELES,90027,,NO,78.2g,Metro,11 - Los Angeles,LOS ANGELES,General Acute Care,Investor - Corporation,General Medical / Surgical,345,Basic,13504,12170,,,625,2220,6261,5113,4475,3364,1797,911,650,258,,1660,3565,11390,6,3381,21,5651,313,827,63,,,249,,24122,95,3,1,,1,,,5776,3130,4571,7330,4867,1909,,88,490,10,1226,292,1568,458,5470,1677,59,1246,1962,42,1786,1846,1088,4457,,1507,53,184,11,619,27,115,197,19680,2081,131,786,98,89,96,,25674,960,19276,5438,3801,3558,,,130,486,615,937,1135,1141,1270,1612,19,14,,1342,863,2415,1189,4,1544,2,209,434,272,167,308,6,99,4620,1243,1,0,0,0,0,0,0,2733,2900,1066,322,338,200,108,1251,1244,339,392,840,637,131,158,164,6,122,835,201,716,4,8,3,413,48,432,37,59,447,5622,119,7,27,53,37,18,36,,4,7359,1160,4693,1506,2010
106190385,190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI STREET,MISSION HILLS,91345,Level II,NO,78.2hh,San Fernando Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,206,Basic,33586,25698,5,,12855,7871,9463,7202,6003,4682,3093,2602,2319,3199,,1222,2549,42403,22,550,44,12499,769,308,74,,,151,6,57694,236,2,35,1,8,5,,28211,7575,836,14090,8577,2119,,190,993,11,3613,584,3920,1793,13093,2633,95,4096,1627,188,1263,9412,2271,11388,,3954,179,848,26,575,75,306,789,45313,5126,194,1459,85,326,34,,59289,606,44927,13756,4809,4463,,,241,647,638,983,1364,1565,1596,2231,7,,,480,440,4348,82,6,3909,7,191,149,276,1237,190,37,68,5765,1345,14,0,0,0,0,0,0,1829,4686,115,1991,651,103,135,1766,1592,385,522,593,1503,135,261,185,7,66,1056,236,711,9,7,,527,45,874,174,43,207,6776,120,26,393,32,26,14,14,,1,9272,349,6811,2112,2010
106190392,190392,GOOD SAMARITAN HOSPITAL-LOS ANGELES,1225 WILSHIRE BOULEVARD,LOS ANGELES,90017,,NO,78.2ffff,Metro,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,380,Basic,12530,11268,,,1387,1916,4897,4023,3760,3300,1896,1162,987,470,,2227,4313,11643,11,159,58,5387,554,985,63,,,376,,21818,2,,,,,,,5195,3296,473,6748,8086,1032,1,81,645,6,1444,364,1136,312,5632,1274,69,1327,620,43,1504,1852,841,5615,,1553,66,92,16,651,3,46,175,17739,2309,118,750,89,94,97,,23798,1252,14736,7810,3134,2887,,,74,320,348,547,826,1000,1213,1687,6,,,1518,1041,2167,27,7,1254,7,98,172,291,437,83,77,30,3698,1134,1,0,0,0,0,0,0,1010,3063,34,1287,627,103,104,1492,853,355,289,472,468,147,185,129,7,30,688,96,593,5,5,,367,25,260,32,13,116,5054,69,5,22,17,13,9,18,,1,6021,1226,3047,1748,2010
106190400,190400,HUNTINGTON MEMORIAL HOSPITAL,100 W. CALIFORNIA BOULEVARD,PASADENA,91105,Level II,NO,78.2mm,San Gabriel Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,594,Basic,23723,19958,3,,6351,4956,6838,6008,5645,4673,3027,2146,2337,1703,,2530,7486,15183,37,1532,64,16852,298,334,91,365,20,189,53,41570,149,608,5,,1,1,,12212,6403,1200,16474,7395,1332,,117,793,13,2241,588,2358,834,11594,2379,66,2451,1826,85,2039,4180,1474,9314,,3972,112,259,19,616,9,251,451,30901,4876,244,1610,94,229,41,,43684,914,37838,4932,7953,6989,,,414,881,1132,1798,2098,2288,2294,3458,247,332,,1094,2271,3802,397,13,7352,13,332,199,408,1748,381,,525,9426,1916,7,0,0,0,0,0,0,2697,7124,116,3926,1079,165,247,2582,2065,586,717,1005,1905,452,380,520,19,992,1443,337,1455,17,52,3,986,146,1446,104,104,732,10605,274,45,205,158,60,56,18,,3,14942,914,12382,1646,2010
106190413,190413,CITRUS VALLEY MEDICAL CENTER - IC CAMPUS,210 W. SAN BERNARDINO ROAD,COVINA,91723,,NO,78.2qq,San Gabriel Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,138,Basic,5543,4370,1,,894,1183,1745,1424,1557,1311,703,452,450,195,,490,594,5007,8,121,9,3685,204,260,25,11,,201,7,9069,134,,,,,3,,1177,1660,153,4983,1941,191,1,23,197,1,501,114,491,107,1795,749,14,494,354,5,519,979,416,2963,,606,41,98,3,115,2,43,75,7922,677,29,191,58,40,14,,9914,325,8628,961,3072,2916,,,96,536,513,684,921,895,956,1387,,,,406,294,2351,39,9,2876,13,249,160,155,343,117,71,135,3672,1083,3,0,0,0,0,0,0,1553,3091,49,764,531,13,76,1111,619,195,252,405,457,88,114,134,12,1265,599,120,526,2,,,218,27,234,3,12,140,5150,50,3,17,111,8,5,9,,1,5988,340,4806,842,2010
106190422,190422,TORRANCE MEMORIAL MEDICAL CENTER,3330 WEST LOMITA BOULEVARD,TORRANCE,90505-5073,,NO,78.2aaaa,South Bay,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,361,Basic,24753,18926,,,5355,4936,5479,5381,5636,4715,3601,3528,3812,1236,,4836,5602,1541,306,10929,355,20110,238,139,55,31,,,5,42424,779,,3,,,5,,6541,6577,874,25433,4254,626,,132,1059,13,1059,421,1865,214,10144,3430,66,1802,654,30,700,2714,1443,17307,,3537,58,423,13,314,1367,81,275,33538,2758,147,921,52,158,36,1,43679,842,40059,2778,7432,6493,,,303,467,698,1171,1846,2172,2834,3963,178,293,,1785,1575,1945,1101,82,7395,42,141,100,442,1227,140,25,196,8996,2656,2,0,0,0,0,0,0,842,7140,524,4934,485,104,214,2962,2431,601,781,888,1329,319,451,261,12,111,1635,330,1445,9,33,9,753,81,838,8,38,775,10995,225,12,57,60,39,23,12,2,7,13925,618,12301,1006,2010
106190429,190429,KAISER FND HOSP - SUNSET,4867 SUNSET BOULEVARD,LOS ANGELES,90027,,NO,78.2g,Metro,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,396,Basic,30057,27750,,,4292,4884,9233,8653,8891,7985,5886,4097,3026,859,1,6271,7689,24098,88,2839,2488,14334,261,706,24,6,36,641,1,55623,33,,113,333,14,16,,7729,10344,113,34725,4896,998,,215,1376,18,3513,1103,3506,873,12458,4332,109,3343,2001,38,2251,5298,2470,13905,,3772,87,672,16,640,48,182,504,43692,5947,257,1562,107,271,50,,57807,1874,45920,10013,4715,5412,,,361,685,836,1147,1658,1885,1586,1556,118,295,,1308,1495,3813,219,104,3179,9,212,207,240,1519,88,23,69,7149,619,1,0,0,0,0,0,0,456,4092,12,4994,573,126,200,1818,1979,489,555,726,938,312,413,279,41,466,763,241,740,33,7,1,359,28,691,25,33,342,8406,116,6,31,35,21,21,10,,3,10127,409,8020,1698,2010
106190431,190431,KAISER FND HOSP - SOUTH BAY,25825 SOUTH VERMONT AVENUE,HARBOR CITY,90710,,NO,78.2aaaa,South Bay,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,235,Basic,25352,19590,,,4380,4721,5763,5229,5885,5745,4958,4240,3154,867,,3269,13830,12481,73,3613,2911,8765,589,531,27,6,13,341,2,43114,137,1,147,19,1,14,,5102,9676,181,27125,2858,1398,,235,1516,17,2370,1075,2500,736,10784,3038,110,2249,1509,35,1317,3515,1634,10904,,3408,115,492,11,389,22,210,388,32772,5291,172,1281,140,225,26,,44942,520,40450,3972,4620,4145,,,207,356,478,863,1303,1567,1931,1880,50,130,,901,3040,1877,124,35,2770,18,315,83,234,1261,39,2,116,6059,656,,0,0,0,0,0,0,335,4713,9,3469,239,81,215,1503,1594,589,602,964,647,187,242,169,11,150,888,310,601,5,7,,376,46,776,13,26,411,6868,165,6,23,15,14,22,4,,,8765,145,7937,683,2010
106190432,190432,KAISER FND HOSP - PANORAMA CITY,13652 CANTARA STREET,PANORAMA CITY,91402,,NO,78.2zz,San Fernando Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,218,Basic,22616,19117,,,4156,4449,5666,5059,5705,5390,4052,3343,3080,833,,3089,2641,15882,121,1203,6358,12439,154,265,28,27,18,257,1,40232,48,,44,644,1,14,,4774,8312,126,23809,4712,551,,154,1270,20,2164,680,2646,866,8543,2823,87,2433,847,16,1583,3494,1310,12246,,2821,100,400,17,337,148,93,411,32261,3600,154,1074,95,187,35,,41733,1146,34274,6313,3469,3344,,,247,335,398,692,1022,1104,1284,1515,60,156,,632,495,2087,119,109,3357,14,297,72,193,811,76,8,81,4661,613,1,0,0,0,0,0,0,377,3415,9,2746,266,46,130,1325,1433,358,481,393,615,113,157,151,7,146,893,152,393,13,7,,359,28,447,15,40,384,5302,117,6,23,42,15,16,17,,2,6813,241,5683,889,2010
106190434,190434,KAISER FND HOSP - WEST LA,6041 CADILLAC AVENUE,LOS ANGELES,90034,,NO,78.2x,Metro,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,305,Basic,30341,22737,4,,4617,4822,8013,6611,6923,6935,5582,4476,4202,901,,1641,24830,10992,565,3094,2533,9427,753,444,55,12,22,384,1,51016,17,2,110,203,10,33,20,7201,11359,226,28937,5359,1268,,296,1644,14,2270,1176,2598,794,14013,3672,110,2714,1239,22,1627,4507,2581,12537,,3895,82,499,22,574,490,382,478,37618,6518,226,1852,128,275,43,,53082,387,48449,4246,3787,3158,,,109,332,370,593,953,1284,1436,1849,5,14,,299,3850,967,93,31,1657,48,274,52,223,868,89,7,41,4676,715,,0,0,0,0,0,0,339,3993,8,2381,224,87,255,1402,1274,401,429,758,418,167,200,119,7,69,707,205,441,5,1,,228,32,479,15,14,448,5540,89,4,24,28,16,21,7,,,6945,74,6399,472,2010
106190455,190455,LANCASTER COMMUNITY HOSPITAL,43830 NORTH 10TH STREET WEST,LANCASTER,93534,,NO,77.1b,Antelope Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Investor - Corporation,General Medical / Surgical,117,Basic,11439,7993,,,1747,2097,3281,2727,3046,2855,1538,992,847,302,,103,6716,3583,16,970,60,7984,142,235,13,2,450,35,,18511,36,,1,,3,4,,4111,2466,637,9298,2920,339,1,121,726,5,975,507,1376,315,3972,1021,26,1749,516,4,494,2435,655,4195,,1301,115,203,15,307,35,161,193,14923,1377,73,507,115,64,43,,19432,76,18905,451,2366,2133,,,35,202,246,591,933,856,840,796,,,,34,1130,625,190,19,2499,2,65,114,148,477,51,,,3000,451,193,0,0,0,0,0,0,801,2435,99,901,263,7,76,1081,686,272,228,187,403,79,97,113,6,64,677,79,441,3,,,234,30,318,23,33,201,3530,41,3,17,24,17,12,16,,,4499,18,4305,176,2010
106190470,190470,PROVIDENCE LITTLE COMPANY OF MARY MC - TORRANCE,4101 TORRANCE BOULEVARD,TORRANCE,90503,,NO,78.2u,South Bay,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,327,Basic,26297,20709,,,7411,5118,7392,6193,6062,4719,3036,2428,2914,1733,,3726,7133,14377,16,2467,14,19273,909,428,97,,,166,,45096,304,,5,,,1,,12287,7558,1579,19014,6568,1437,,199,1021,17,2195,604,2463,1056,11553,2500,73,2730,1805,31,1308,4750,1700,11563,1,3754,187,401,13,430,11,97,405,35137,4622,220,1267,112,304,46,,47006,982,43405,2619,7287,5777,,,259,644,777,1354,1859,1808,2349,3552,184,278,,1706,1925,2493,548,4,6380,8,201,173,359,1383,149,19,74,8276,2423,7,0,0,0,0,0,0,2353,6688,141,3277,605,139,200,2517,2176,555,697,1130,1153,336,340,289,9,163,1504,329,1488,11,28,,749,51,489,21,11,173,11236,122,12,61,67,20,28,21,,3,13064,793,11314,957,2010
106190475,190475,COMMUNITY HOSPITAL OF LONG BEACH,1720 TERMINO AVENUE,LONG BEACH,90804,,NO,78.2lll,South Bay,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,163,Basic,9933,8286,,,1719,2011,3824,2900,3022,2056,1070,545,797,275,,673,4412,4046,15,178,4,8891,795,471,51,119,,27,1,15729,101,923,,,,2,,4797,2764,1006,5638,4014,362,1,76,486,3,911,241,1024,336,4852,1264,45,1240,491,,753,1939,970,3225,,1423,59,154,7,528,21,49,216,12888,1918,126,646,34,97,53,,18219,140,17534,545,1905,1723,,,61,354,359,579,575,473,425,802,,,,167,628,458,38,,2333,4,251,143,122,168,90,5,11,2213,618,7,0,0,0,0,0,0,599,1950,44,560,475,15,42,471,332,138,136,271,225,48,33,83,1,1033,432,39,329,,,,191,16,122,33,3,60,2971,87,3,11,99,,7,23,,2,3628,31,3521,76,2010
106190500,190500,MARINA DEL REY HOSPITAL,4650 LINCOLN BOULEVARD,MARINA DEL REY,90291,,NO,78.2j,West,11 - Los Angeles,LOS ANGELES,General Acute Care,Investor - Corporation,General Medical / Surgical,105,Basic,9252,8269,,,869,1449,3440,3060,3003,2277,1337,977,1029,80,,532,3909,1525,108,2116,771,8560,447,842,49,,,167,,15973,25,3,9,,,6,,969,2819,671,8979,4083,246,,59,423,2,802,292,1048,240,5513,676,25,1826,733,2,851,1403,704,2676,,1597,75,224,13,287,23,108,220,11638,2271,170,661,109,92,33,,17521,201,16762,558,1659,1393,,,23,120,183,293,423,477,543,990,,,,111,660,145,321,98,1696,21,181,132,102,328,47,2,13,1738,506,3,0,0,0,0,0,0,135,1811,25,851,230,1,42,670,471,113,157,425,283,106,51,68,1,32,340,44,247,1,,,212,7,139,2,4,105,2458,60,9,14,14,5,4,19,,,3052,30,2920,102,2010
106190517,190517,PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,91356,,NO,78.2yy,San Fernando Valley,11 - Los Angeles,LOS ANGELES,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,245,Basic,12905,10255,1,,3449,2565,3144,2974,2926,2383,1728,1471,1846,674,1,344,1401,3547,12,2183,46,15628,218,225,19,12,,76,13,22485,56,3,3,,3,48,,4366,4323,722,8435,5315,629,,68,505,,925,285,1139,413,5654,1350,25,1609,942,22,743,2470,859,5523,,2131,73,209,11,196,32,128,282,16946,2211,69,637,53,145,38,,23161,212,22296,653,4190,3102,,,176,203,286,462,657,949,1262,2904,133,260,,113,205,546,592,20,5815,1,96,104,252,1175,95,18,173,4036,1343,,0,0,0,0,0,0,855,4267,60,1872,238,89,98,1423,1037,344,478,804,663,144,211,165,17,42,990,223,533,10,21,,440,32,448,5,23,453,5694,105,2,20,15,20,12,23,,,7292,147,7002,143,2010
106190521,190521,MEMORIAL HOSPITAL OF GARDENA,1145 W. REDONDO BEACH BLVD.,GARDENA,90247,,NO,78.2iiii,South Bay,11 - Los Angeles,LOS ANGELES,General Acute Care,Investor - Partnership,General Medical / Surgical,103,Basic,14547,10530,2,,3861,3372,5110,3595,3372,2482,1199,618,456,1014,,685,13476,9062,54,290,82,1430,647,2252,111,4,,24,23,21931,68,17,1,,,1,,11074,1788,607,4862,6748,1317,,83,597,11,1431,414,1465,428,5582,1368,84,1718,739,25,927,3118,1148,4624,,1756,75,239,20,590,9,93,234,18754,2014,147,863,101,137,47,,25079,137,20693,4249,3173,2002,,,152,578,492,533,898,850,802,870,,,,282,2787,1537,81,26,451,11,231,251,149,103,19,207,32,3286,896,1,0,0,0,0,0,0,1988,2146,39,512,490,700,89,994,615,337,195,508,285,56,89,251,4,38,687,87,238,2,,,167,16,173,13,32,202,4448,47,2,21,20,5,9,16,,4,5175,52,4224,899,2010
