oshpd_id,oshpd_id9,fac_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Other_Care,Residential_Care_Facility,Routine,SN_IC_Care,Hospice_Care,Psychiatric_Care,Critical_Access_Hospital,Childrens_or_Cancer_Center,Prison_Jail,Not_Defined_Elsewhere,Other_Unknown,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Native_American_Es,a_Other_Race,a_Unknown_Race,a_White,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Invalid_Blank,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Private_Coverage,a_Uninsured,a_Other_Payer,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,datayear,a_English,a_Spanish,a_All_Other,English,Spanish,All_Other
106171049,106171049,171049,ST. HELENA HOSPITAL - CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,95422,,NO,71.1,,01 - Northern California,Lake,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,32,Standby,7654,6639,,,1248,1542,2211,1628,1963,2110,1413,909,974,294,1,53,705,1070,133,62,76,12194,1766,320,32,4,,2,12034,29,,96,0,2,8,,,6147,3732,285,2350,1779,305,,12,219,3,595,150,364,107,3186,1092,3,653,131,6,549,1057,695,5166,1104,47,26,15,212,2,90,150,10865,1277,87,264,69,78,7,,14293,767,590,,,33,80,77,202,252,240,183,258,6,26,,11,56,59,9,5,9,1208,115,57,43,228,6,,,809,98,1,0,0,0,0,0,355,698,136,150,18,18,18,143,,285,122,65,56,116,31,13,26,2,33,305,56,66,2,,32,20,77,4,4,86,9,1087,10,2,6,17,2,,1,,1357,2009,1332,23,2,13924,362,7
106171395,106171395,171395,SUTTER LAKESIDE HOSPITAL,5176 HILL ROAD EAST,LAKEPORT,95453,Level IV,NO,70.1,,01 - Northern California,Lake,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,49,Basic,9515,7813,,,1728,2087,2627,2069,2280,2258,1604,1190,1131,354,,61,275,1933,699,112,14,14234,458,85,25,2,,,16055,10,,27,569,,0,,97,6157,4320,789,3769,2293,280,,57,677,6,1325,258,845,278,3677,1338,53,1228,684,19,331,2099,924,3249,1261,67,116,18,186,12,102,283,12930,1697,86,388,40,121,21,,17328,745,595,,,36,65,68,109,206,252,272,325,1,6,,5,17,84,39,8,4,1183,100,15,49,346,6,4,4,597,215,4,0,0,0,0,0,215,807,177,102,39,19,26,206,,244,56,55,132,176,36,37,19,2,17,228,44,43,,,83,32,117,3,8,73,9,962,10,5,13,21,2,2,,,1340,2009,1308,29,3,16518,755,55
106184008,106184008,184008,BANNER LASSEN MEDICAL CENTER,1800 SPRING RIDGE DRIVE,SUSANVILLE,96130,,NO,72,,01 - Northern California,Lassen,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,38,Basic,5052,4448,,,1025,1245,1611,1114,1255,1099,712,532,586,321,,142,199,543,351,32,84,8149,917,93,8,,,7,8324,85,,55,0,,0,,11,2705,1935,1345,2560,955,176,,16,285,1,518,190,456,151,2485,551,9,686,156,6,225,1123,258,2208,836,43,100,13,165,4,89,139,6505,1183,56,211,61,70,25,,9500,515,446,,,50,78,77,137,148,114,98,166,36,57,,14,21,44,29,10,8,835,96,3,22,65,4,,,612,88,71,0,0,0,0,0,180,395,230,56,100,12,16,67,,213,90,65,31,76,20,13,12,,14,227,44,49,,12,37,3,18,6,3,38,2,820,18,2,6,5,1,1,1,,961,2009,956,4,1,9400,84,16
106190017,106190017,190017,ALHAMBRA HOSPITAL,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,,NO,78.2eeee,San Gabriel Valley,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Partnership,General Medical / Surgical,118,Basic,4721,3778,,,938,1133,1365,1115,1259,997,580,453,523,136,,1374,428,5541,4,87,14,1051,150,268,10,2,,7,7913,120,,15,0,13,0,,1,1319,1531,70,4237,1342,80,,20,220,4,674,149,480,144,2206,420,11,639,137,2,519,992,312,1490,759,24,67,5,127,13,30,118,6095,872,21,276,30,48,14,,8499,1615,1174,,,34,63,93,238,300,387,545,1129,,,,1238,89,1096,4,6,7,349,120,79,116,358,87,12,20,1197,797,3,0,0,0,0,0,711,1591,389,87,11,6,67,547,1,394,145,216,386,134,29,83,66,3,17,394,64,237,,,124,7,119,3,10,111,3,2324,32,,9,7,36,4,,,2789,2009,1355,278,1156,5822,626,2051
106190034,106190034,190034,ANTELOPE VALLEY HOSPITAL,1600 WEST AVENUE J,LANCASTER,93534,,NO,77.1b,Antelope Valley,11 - Los Angeles,Los Angeles,General Acute Care,District,General Medical / Surgical,390,Basic,55861,41327,2,,18475,14811,17724,12364,11919,9007,3966,2186,1572,5166,,996,24848,36587,124,693,331,33611,472,3520,167,2,1,1,92825,117,7,32,0,45,0,,1,52076,8465,3984,13866,18799,3640,,559,1293,29,4865,1488,5559,3842,18018,3715,239,7262,7586,229,2811,16339,3441,16275,5072,354,689,59,1553,107,632,764,76677,6925,328,2930,428,551,121,,97190,8121,7019,,,690,1235,1252,2094,2616,2323,1998,1944,349,639,,243,3091,3896,53,129,15,7713,213,368,477,1149,157,1,67,11322,1292,94,0,0,0,0,0,4128,5831,3151,1631,399,402,330,2421,10,2278,793,756,638,1495,274,299,329,21,641,2567,278,1516,7,85,679,114,729,57,56,733,34,12001,161,28,281,209,38,18,2,,15140,2009,13852,1146,142,88434,7909,847
106190045,106190045,190045,CATALINA ISLAND MEDICAL CENTER,100 FALLS CANYON ROAD,AVALON,90704,,NO,78.1,South Bay,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,8,Standby,700,695,,,147,201,218,120,167,218,143,71,83,27,,5,5,401,,48,4,932,122,4,1,,,,1253,7,,,0,,0,8,,220,209,37,644,285,19,,5,76,1,81,28,60,26,494,56,4,67,8,1,85,132,36,216,185,10,4,,15,,,28,891,219,17,8,1,16,1,,1395,11,6,,,,1,1,3,3,2,3,4,,,,,,5,,,,12,4,1,,,,,,9,3,,0,0,0,0,0,3,9,3,2,,,2,1,,3,,2,1,,1,,,,3,4,,,,,,,,,,,,17,,,,,,,,,17,2009,12,4,1,1146,244,5
106190053,106190053,190053,ST. MARY MEDICAL CENTER,"1050 LINDEN AVENUE, BOX 887",LONG BEACH,90801,Level II,NO,78.2kkk,South Bay,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,389,Basic,19969,17119,,,5801,3998,6818,5014,5403,4386,1975,1031,972,1690,,1272,9094,15977,203,255,214,10073,350,585,66,,,1,35761,54,2,,0,,0,,269,18716,4793,957,3771,8851,1647,,130,537,8,2212,330,1851,633,6667,2582,49,2451,1544,46,1014,4649,1995,8743,2220,131,124,13,778,80,92,232,29581,2688,161,708,62,189,29,,37088,2835,2870,,,170,407,444,779,982,941,819,929,115,119,,434,1300,1540,15,33,32,2351,91,182,213,395,310,90,9,3659,745,11,0,0,0,0,0,1933,2403,636,606,127,153,124,1007,8,796,372,329,499,608,113,125,157,5,92,775,138,364,7,33,290,45,338,88,23,271,5,4404,62,13,70,47,25,23,1,,5705,2009,5072,589,44,30955,5952,181
106190066,106190066,190066,BELLFLOWER MEDICAL CENTER,9542 EAST ARTESIA BOULEVARD,BELLFLOWER,90706,,NO,78.2m,East,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,112,Basic,5594,3958,,,2141,1393,1759,1311,1081,682,323,167,109,586,,573,1476,5997,42,64,117,1283,114,255,13,2,,,9123,7,,,0,14,0,,24,5968,713,89,1052,1730,642,,22,122,7,558,66,585,152,2082,314,21,763,322,47,232,1494,419,1704,703,73,57,4,116,20,10,127,7404,790,44,109,23,51,21,,9552,1376,658,,,137,430,360,311,257,191,150,155,42,1,,167,267,1085,10,,113,392,33,29,8,7,118,32,1,1627,179,,0,0,0,0,0,1052,549,254,171,8,605,20,125,1,171,64,106,54,38,19,62,17,4,457,143,33,73,1,41,20,4,23,1,14,26,1,1910,14,1,1,16,1,1,1,,2034,2009,1509,489,36,7363,2140,49
106190081,106190081,190081,BEVERLY HOSPITAL,309 WEST BEVERLY BOULEVARD,MONTEBELLO,90640,,NO,78.2ww,East,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,224,Basic,13396,11343,1,,4874,3376,3762,2901,2620,1963,1396,1361,1245,1242,,292,222,21856,1,249,23,2097,14,1281,51,4,5,2,22750,198,3,136,0,296,0,,,10656,6966,666,1756,4696,762,,32,349,3,749,335,1050,398,5406,1314,16,1097,1055,54,706,3095,1054,7265,1846,61,109,9,335,41,30,211,19109,2074,96,594,61,137,27,,24740,3203,2568,,,112,241,292,544,774,956,1075,1528,99,150,,141,51,4682,,76,1,820,357,146,202,577,1,9,17,3465,996,1,0,0,0,0,0,1673,3163,635,285,15,82,151,1145,4,881,343,351,480,376,93,133,130,7,57,759,175,593,1,10,293,10,487,11,3,91,23,4705,79,8,18,16,16,10,1,,5771,2009,2616,1394,1761,11163,2792,10785
106190110,106190110,190110,BROTMAN MEDICAL CENTER,3828 DELMAS TERRACE,CULVER CITY,90231,,NO,78.2y,West,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,329,Basic,9840,8457,1,,2018,1903,2990,2779,3027,2600,1198,752,762,269,,397,6290,4304,61,618,1332,5296,253,604,42,,,,16443,83,1,2,0,870,0,,,30,5298,327,7730,4913,306,,67,329,,816,276,823,525,4360,1073,35,1706,873,3,1646,2078,775,2607,1280,58,104,9,325,9,111,162,13527,1722,78,693,82,93,45,,18298,2457,2174,,,46,189,260,592,926,784,710,1124,,,,14,1813,686,14,188,210,1706,114,183,164,325,160,9,277,2167,1230,2,0,0,0,0,0,920,2718,595,233,165,26,112,784,1,499,216,253,360,271,108,89,94,6,752,543,117,400,,,219,19,234,17,14,155,5,3854,48,2,11,35,1,16,1,,4631,2009,4434,172,25,17266,880,152
106190125,106190125,190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,1401 SOUTH GRAND AVENUE,LOS ANGELES,90015,Level II,NO,78.2ffff,Metro,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,285,Basic,26079,22485,7,,7684,6888,9623,6969,6356,4890,2246,857,653,2405,,234,17775,26687,67,685,829,2294,917,852,150,,,,46152,,,169,0,328,0,,3,25652,4233,2882,3033,12771,2495,,198,861,10,2542,1275,3089,1312,10161,2362,109,2514,2927,93,2982,5344,1787,8510,2769,59,43,15,1618,68,113,561,37253,3814,137,1698,103,306,14,,48571,4693,4869,2,,581,1326,1112,1486,1697,1225,737,737,328,335,,61,4021,4814,10,192,57,409,316,324,253,150,25,132,18,7664,661,21,0,0,0,0,0,4455,2000,508,2311,290,485,148,1370,9,1312,498,463,367,1996,166,184,190,13,146,1126,217,812,22,40,523,40,344,523,28,345,30,6740,283,27,520,68,19,71,3,,9564,2009,6463,3059,42,34047,14308,216
106190148,106190148,190148,CENTINELA HOSPITAL MEDICAL CENTER,555 EAST HARDY STREET,INGLEWOOD,90301,,NO,78.2q,South Bay,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Limited Liability Company,General Medical / Surgical,317,Basic,26595,19559,1,,5580,5535,8777,6394,6629,5904,2915,1777,1214,1430,,282,29302,11904,,989,,3678,912,889,251,2,,,43446,152,3,317,0,,0,,183,19951,5739,456,5356,14653,1880,1,166,1154,7,1956,716,2137,1307,9753,2666,122,3544,3151,90,2093,5151,1605,8656,2661,158,517,27,1461,31,248,354,35000,3265,129,1686,170,216,232,,46155,9216,6569,,,259,854,995,2017,3024,3022,2875,2732,6,1,,150,11168,2885,18,301,3,1260,493,582,532,1305,320,30,208,10314,2001,,0,0,0,0,0,5365,7728,1556,1136,,485,345,3884,4,1656,936,662,1043,1088,296,347,896,26,212,2013,213,1673,6,,533,90,583,92,41,642,29,13303,209,3,55,76,37,82,10,,15785,2009,14172,1,1612,41357,4,4794
106190159,106190159,190159,TRI-CITY REGIONAL MEDICAL CENTER,21530 SOUTH PIONEER BOULEVARD,HAWAIIAN GARDENS,90716,,NO,78.2n,East,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,107,Basic,3512,3261,,,732,855,1162,1016,1107,821,425,294,251,110,,669,1071,3100,,1,3,1929,152,115,18,2,,2,6288,159,2,34,0,1,0,,,1836,1030,749,1624,1534,91,1,40,286,7,474,257,334,95,1719,318,13,581,151,,449,865,267,825,563,14,58,1,206,18,1,65,4912,645,46,170,45,25,4,,6773,1119,1003,,,19,68,96,237,388,395,379,540,,,,345,362,703,,4,1,707,339,37,60,116,10,7,70,710,771,2,0,0,0,0,0,685,1147,159,95,36,4,32,273,,306,151,231,288,138,46,46,38,7,8,333,89,132,,,93,3,107,,14,53,2,1770,48,2,5,5,16,4,,,2122,2009,1777,254,91,5948,730,95
106190170,106190170,190170,CHILDRENS HOSPITAL OF LOS ANGELES,4650 SUNSET BOULEVARD,LOS ANGELES,90027,Level I - Pediatric,NO,78.2g,Metro,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,286,Basic,28649,34243,,,37853,12800,265,51,27,25,7,,,11864,,2645,4163,50716,9,3610,7,1742,254,2888,6,,,,59555,,,161,0,,0,,28,57769,36,176,4911,,9,,442,117,187,4672,487,2262,9496,8961,1226,90,5809,1163,427,258,14818,2288,10180,3865,96,215,9,177,10,62,508,53720,3189,161,276,18,558,28,,62892,2077,2692,,,1531,65,1,,,,,,1048,2124,,262,382,3381,1,403,,340,22,9,44,20,26,,6,4626,16,,0,0,0,0,0,3891,11,819,15,33,,366,131,131,656,193,213,253,780,115,118,217,34,15,951,172,241,,183,280,14,271,21,15,66,22,3824,93,21,80,5,53,3,1,,4769,2009,2648,2121,,32382,30041,469
106190176,106190176,190176,CITY OF HOPE HELFORD CLINICAL RESEARCH HOSPITAL,1500 EAST DUARTE ROAD,DUARTE,91010,,NO,78.2zzz,San Gabriel Valley,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),Other,217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,,,,1,,,,,,,,,,2,,,,,,,,2,,,0,0,0,0,0,1,1,,,,,1,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,2,2009,1,,1,,,
106190197,106190197,190197,COMMUNITY AND MISSION HSP OF HNTG PK - SLAUSON,2623 EAST SLAUSON AVENUE,HUNTINGTON PARK,90255,,NO,78.2ccc,East,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,81,Standby,14380,12237,,,9413,4750,3591,2866,1945,1042,592,358,150,1910,,3,59,26476,,7,1,71,251,831,2,,,,25445,1,,2,0,1,0,,84,19511,751,74,2292,3989,1009,7,130,220,13,2107,197,1976,426,4768,556,38,1783,289,12,495,8015,1400,3176,1777,40,195,14,205,28,21,264,21312,2294,98,180,12,172,5,,26617,2174,1312,,,212,271,357,451,509,478,440,335,151,282,,2,46,3383,,28,,27,95,104,13,33,1,,2,3189,49,,0,0,0,0,0,2049,844,254,333,6,45,68,430,4,831,293,331,87,76,62,24,49,1,16,609,126,425,,9,60,4,47,6,7,23,4,3298,22,1,2,5,2,4,1,,3486,2009,509,2959,18,5997,19165,1455
106190198,106190198,190198,LOS ANGELES COMMUNITY HOSPITAL,4081 EAST OLYMPIC BOULEVARD,LOS ANGELES,90023,,NO,78.2d,East,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Limited Liability Company,General Medical / Surgical,100,Standby,4470,3818,,,2254,1026,892,759,728,621,511,380,373,744,,44,404,7281,2,23,18,516,2866,324,2,2,,9,5064,14,,7,0,,0,,,4157,1211,131,1835,954,366,,11,25,3,613,44,285,61,945,144,4,201,2991,9,104,1482,217,783,341,5,20,1,40,2,8,41,7336,406,22,42,1,19,4,,8288,1336,1263,,,132,106,115,242,327,350,281,290,300,456,,24,288,1963,1,7,10,306,78,133,27,36,26,1,4,1847,447,,0,0,0,0,0,1507,895,105,54,38,58,25,272,3,439,107,206,105,86,48,17,33,4,12,773,137,261,2,11,60,4,42,7,9,40,1,2391,32,2,4,2,1,4,,,2599,2009,1134,1448,17,3205,5049,34
106190200,106190200,190200,SAN GABRIEL VALLEY MEDICAL CENTER,438 W. LAS TUNAS DRIVE,SAN GABRIEL,91776,,NO,78.2eeee,San Gabriel Valley,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Limited Liability Company,General Medical / Surgical,190,Basic,10936,8966,,,3914,2686,2539,2444,2150,1756,1257,950,1266,940,,4361,213,6946,56,1527,11,6788,354,219,26,1,,29,18874,80,,103,0,216,0,,,1960,2988,585,11660,2709,499,,38,310,5,1051,316,874,737,5074,902,23,1034,691,42,470,2172,663,5001,1674,41,131,13,200,11,99,253,14426,2200,79,555,82,111,27,,19902,2405,1776,,,45,127,202,326,447,490,870,1668,6,,,1713,88,1115,4,246,1,1014,125,60,220,353,70,75,31,2070,1176,1,0,0,0,0,0,615,2167,1241,141,17,61,86,843,,548,207,285,537,296,64,139,102,3,21,587,69,327,,6,266,10,210,2,5,109,2,3476,44,1,9,12,28,7,,,4181,2009,2886,283,1012,17319,1228,1355
106190240,106190240,190240,LAKEWOOD REGIONAL MEDICAL CENTER,3700 EAST SOUTH STREET,LAKEWOOD,90712,,NO,78.2n,South Bay,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Corporation,General Medical / Surgical,172,Basic,18240,12641,2,,4095,3841,5045,4144,4334,3381,1970,1723,1671,679,,1900,8939,10040,25,1088,288,8603,460,1088,63,92,4,4,28853,183,5,128,0,,0,,3,4044,5676,816,15355,4992,782,4,134,811,1,1710,588,2006,1435,6736,2247,22,2156,355,18,832,3590,1179,6277,2088,108,438,17,373,5,194,276,23562,2654,114,773,77,167,37,,30883,2881,2291,,,54,199,317,568,898,970,971,1195,,,,429,1224,1394,2,167,42,1914,127,125,229,521,96,6,18,3025,1022,3,0,0,0,0,0,1023,2823,959,321,46,31,139,1180,,786,344,323,283,438,69,136,112,6,57,691,121,456,,,244,30,195,16,16,313,5,4235,44,2,7,26,18,20,1,,5172,2009,4686,441,45,29035,1765,83
106190243,106190243,190243,DOWNEY REGIONAL MEDICAL CENTER,11500 BROOKSHIRE AVENUE,DOWNEY,90241,,NO,78.2eee,East,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,199,Basic,24559,19182,,,9137,6528,6512,5200,4269,3286,2526,2033,2042,2208,,486,2219,34254,9,1793,22,4958,319,1632,17,6,1,4,40863,165,6,138,0,468,0,,122,18845,5998,1090,11914,5894,1512,,89,725,18,2394,447,1984,875,9505,2158,50,2633,1336,101,1068,6114,1515,11217,3318,108,503,16,408,7,193,387,33500,3803,159,988,79,224,48,,43741,4973,3876,,,79,343,450,858,1212,1552,1868,2459,28,,,257,555,5363,1,430,5,2238,403,139,245,820,35,21,100,5780,1297,9,0,0,0,0,0,1721,4595,2018,463,52,125,195,1880,4,1363,518,619,599,524,198,261,192,3,59,1036,204,1042,1,26,362,17,424,10,44,412,9,7378,117,,19,22,20,11,4,,8849,2009,5962,2743,144,34843,8745,153
106190256,106190256,190256,EAST LOS ANGELES DOCTORS HOSPITAL,4060 WHITTIER BOULEVARD,LOS ANGELES,90023,,NO,78.2d,East,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Partnership,General Medical / Surgical,102,Basic,8897,7536,,,4049,2551,2852,2221,1602,1082,527,363,279,907,,85,289,15130,82,54,17,776,210,174,23,,1,,15948,15,,60,0,2,0,,,7390,718,86,3373,4866,929,,48,173,2,1175,250,650,452,3082,420,14,1201,1074,51,903,3177,563,2269,1024,43,167,5,221,10,28,219,12537,1443,70,501,54,99,12,,16433,1942,1195,,,228,350,286,308,421,374,410,471,80,209,,20,107,2811,22,11,9,157,129,162,76,89,12,18,4,2280,367,,0,0,0,0,0,1511,978,364,279,5,400,43,452,,477,217,206,230,104,45,44,75,3,17,469,130,219,,6,73,3,126,1,6,59,7,2817,20,1,4,9,4,7,,,3137,2009,1092,2018,27,6573,9840,20
106190280,106190280,190280,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BOULEVARD,ENCINO,91436,,NO,78.2yy,San Fernando Valley,11 - Los Angeles,Los Angeles,General Acute Care,Investor - individual,General Medical / Surgical,109,Basic,4518,3737,,,674,790,1414,1497,1453,1064,497,323,454,89,,142,801,877,4,621,13,5797,117,421,6,,1,,7693,,,3,0,,0,,14,1640,1276,240,2932,2167,109,,20,117,,341,78,377,162,2304,771,11,557,525,2,335,873,296,1377,699,16,82,5,87,4,41,99,5713,1029,29,376,16,47,12,,8255,1455,924,,,17,73,107,201,268,303,395,1015,,,,53,131,153,1,112,4,1925,97,86,70,349,47,,114,1036,580,,0,0,0,0,0,269,1655,338,113,4,6,35,334,,288,88,152,478,194,74,32,137,,148,208,47,158,,,176,14,136,,6,31,7,1929,38,2,20,6,3,10,1,,2379,2009,2238,47,94,7945,106,204
106190298,106190298,190298,FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL,250 SOUTH GRAND AVENUE,GLENDORA,91741,,NO,78.2qq,San Gabriel Valley,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,105,Basic,11303,9464,5,,3809,3422,3227,2686,2567,1990,1117,660,552,742,,500,635,9189,23,175,22,10228,226,178,35,,,3,20228,22,3,76,0,,0,,1,2020,2085,95,13370,3202,409,1,40,291,2,931,209,1006,667,5561,970,16,1166,439,32,522,2968,881,4661,1747,50,139,9,232,1,68,255,14923,2411,146,606,57,108,20,,20772,2223,1688,,,69,222,235,372,532,553,849,1079,,,,139,91,1024,5,22,2,2628,240,93,138,214,71,55,24,2420,656,,0,0,0,0,0,500,2295,900,179,37,51,61,723,1,674,182,203,355,329,73,106,78,1,30,503,66,475,,,196,19,137,2,6,77,2,3385,23,5,20,26,11,2,,,3911,2009,3426,337,148,16281,1560,2931
106190315,106190315,190315,GARFIELD MEDICAL CENTER,525 NORTH GARFIELD AVENUE,MONTEREY PARK,91754,,NO,78.2qqq,San Gabriel Valley,11 - Los Angeles,Los Angeles,General Acute Care,Investor - Partnership,General Medical / Surgical,210,Basic,8410,7177,,,3314,2065,2120,1708,1662,1321,819,868,812,898,,6006,23,8363,5,32,20,1138,238,272,35,1,,,14890,63,,76,0,12,0,,,2188,2311,631,8671,1786,732,,44,279,2,650,198,756,155,3581,521,28,717,218,67,379,2131,532,4597,1217,32,95,3,177,2,87,199,11550,1623,66,359,43,113,21,,15587,3111,2700,,,67,179,251,463,702,794,1324,2019,12,,,3835,59,1411,,6,2,498,93,163,274,1195,306,7,2,3033,737,1,0,0,0,0,0,1465,2973,1081,258,34,127,107,1457,1,759,340,331,439,350,91,184,111,8,47,775,118,556,,10,292,24,201,11,7,245,6,4912,46,,10,23,30,4,,,5811,2009,3124,394,2293,11035,1979,2573
106190323,106190323,190323,GLENDALE ADVENTIST MEDICAL CENTER - WILSON TERRACE,1509 EAST WILSON TERRACE,GLENDALE,91206,,NO,78.2ee,San Fernando Valley,11 - Los Angeles,Los Angeles,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,357,Basic,15919,12901,3,,4109,3616,4490,3860,3656,3006,1960,1640,1510,969,7,1555,841,8753,19,1,24,17630,588,551,57,1,,,26954,216,,,0,449,0,,7,10480,4638,459,9238,4008,1051,,59,700,1,1382,282,1444,722,6522,1465,29,1335,734,76,1406,3222,1106,7287,2214,82,272,10,271,3,11,287,21890,2766,87,733,32,154,11,,28823,6103,5406,2,,140,675,835,1455,1721,1751,2078,2848,6,,2,758,360,1975,6,2,163,8247,238,399,359,1132,569,,276,7096,1440,2,0,0,0,0,0,3234,5145,2403,577,152,148,158,2381,11,1271,416,518,649,827,306,323,292,13,1659,1109,207,1217,1,5,611,59,528,31,36,105,25,9762,148,3,40,104,26,30,3,,11511,2009,8706,603,2202,25261,1312,2250
