oshpd_id2,oshpd_id,FACILITY_NAME,LICENSE_CATEGORY_DESC,COUNTY_NAME,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,CONTROL_TYPE_DESC,TRAUMA_CENTER_DESC,ER_SERVICE_LEVEL_DESC,RURAL_HOSPITAL_DESC,TEACHING_HOSPITAL_DESC,LICENSED_BED_SIZE,SENATE_DISTRICT_DESC,ASSEMBLY_DISTRICT_DESC,MSSA_NAME,MSSA_DESIGNATION,Sex_Female,Sex_Male,Sex_Unk,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,racegrp_aman,racegrp_asian,racegrp_black,racegrp_multirace,racegrp_nhpi,racegrp_other,racegrp_unknown,racegrp_white,racegrp_inv_blank,eth_Hispanic,eth_NonHispanic,eth_Unknown,eth_Blank_Invalid,disp_Acute_Care,disp_Against_Medical_Advice,disp_Childrens_or_Cancer,disp_Died,disp_Home_Health_Service,disp_Hospice_Care,disp_Not_Defined_Elsewhere,disp_Prison_Jail,disp_Psychiatric_Care,disp_Rehab,disp_Residential_Care,disp_Routine,disp_SN_IC_Care,disp_CAH,disp_Other,disp_Invalid_Blank,disp_Disaster_Care_Site,Medi_Cal,Medicare,Other_Payer,Private_Coverage,SelfPay,Unknown_inv_Payer,dx_Certain_Perinatal_Conditions,dx_Circulatory,dx_Congenital,dx_Digestive,dx_Diseases_of_the_Blood,dx_Ear,dx_Endocrine,dx_Eye,dx_Factors_Influencing_Health_St,dx_Genitourinary,dx_Infectious,dx_Injury_Poisoning,dx_MentalHealth,dx_Musculoskeletal,dx_Neoplasms,dx_Nervous_System,dx_Pregnancy_Childbirth,dx_Respiratory,dx_Skin,dx_Symptoms_Signs_NEC,dx_Unacceptable_principal_diagno,ED_Visit,All_Other_Languages,English,Spanish,Unknown_lang,blank_inv_lang,Zip_Blank_Invalid,Zip_CA_Resident,Zip_Foreign,Zip_Homeless,Zip_Out_of_State,Zip_Unknown,a_Sex_Female,a_Sex_Male,a_sex_Unknown,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_racegrp_aman,a_racegrp_asian,a_racegrp_black,a_racegrp_multirace,a_racegrp_nhpi,a_racegrp_other,a_racegrp_unknown,a_racegrp_white,a_racegrp_inv_blank,a_eth_Hispanic,a_eth_NonHispanic,a_eth_Unknown,a_eth_Blank_Invalid,a_disp_Acute_Care,a_disp_Against_Medical_Advice,a_disp_Died,a_disp_Home_Health_Service,a_disp_Hospice_Care,a_disp_Not_Defined_Elsewhere,a_disp_Prison_Jail,a_disp_Psychiatric_Care,a_disp_Rehab,a_disp_Residential_Care,a_disp_Routine,a_disp_SN_IC_Care,a_disp_Childrens_or_Cancer,a_disp_Disaster_Care_Site,a_disp_Other,a_disp_CAH,a_disp_Invalid_Blank,a_Medi_Cal,a_Medicare,a_Other_Payer,a_Private_Coverage,a_SelfPay,a_Unknown_inv_Payer,a_dx_Circulatory,a_dx_Digestive,a_dx_Diseases_of_the_Blood,a_dx_Ear,a_dx_Endocrine,a_dx_Eye,a_dx_Genitourinary,a_dx_Infectious,a_dx_Injury_Poisoning,a_dx_MentalHealth,a_dx_Musculoskeletal,a_dx_Neoplasms,a_dx_Nervous_System,a_dx_Respiratory,a_dx_Skin,a_dx_Symptoms_Signs_NEC,a_dx_Certain_Perinatal_Condition,a_dx_Factors_Influencing_Health_,a_dx_Pregnancy_Childbirth,a_dx_Congenital,a_dx_Unacceptable_principal_diag,Inpatient_from_ED,a_All_Other_Languages,a_English,a_Spanish,a_Unknown_lang,a_blank_inv_lang,a_Zip_CA_Resident,a_Zip_Homeless,a_Zip_Out_of_State,a_Zip_Unknown,a_Zip_Foreign,a_Zip_Blank_Invalid,ED_STATIONS_ON_1231
106190434,190434,KAISER FOUNDATION HOSPITAL - WEST LA,General Acute Care Hospital,Los Angeles,6041 Cadillac Ave,Los Angeles,90034,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,200-299,District 30,District 54,Hancock Park/Mid-City West/Park La Brea,Urban,35376,27204,4,3623,3902,11089,9388,7200,7977,7242,5889,5533,741,,153,2126,28558,282,160,20018,1935,9352,,19685,41617,1282,,1316,1149,11,85,1122,68,30,25,594,28,4,57955,189,,,8,,17152,15007,97,24260,6068,,58,5388,10,3737,601,976,1270,744,1769,4172,3821,9632,2431,4037,192,2778,1538,5720,2099,11587,24,62584,303,56448,5628,142,63,4,59918,1,2365,295,1,2075,2026,,27,181,289,363,531,823,883,1002,,2,,7,190,2069,9,9,1086,26,705,,1127,2963,11,,185,31,315,1706,137,,,4,6,,1456,257,,1,3,,,427,2293,6,1270,105,,688,548,114,2,219,,159,1437,219,33,86,114,92,231,17,65,,2,74,1,,4101,27,3521,545,2,6,4044,48,9,,,,53
106190470,190470,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER TORRANCE,General Acute Care Hospital,Los Angeles,4101 Torrance Blvd,Torrance,90503,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 26,District 66,Redondo Beach Central and South/Torrance West Central,Urban,20935,16332,8,2963,2908,6296,6230,4976,4960,4004,2287,1938,713,,45,2637,5935,604,313,9201,445,18075,20,16712,20121,423,19,976,,108,94,37,4,3,92,508,4,35,35171,225,,,18,,17297,6262,879,10947,1889,1,63,2472,10,2042,124,621,448,321,813,2658,2071,6594,1762,2644,101,1733,1232,3550,1228,6777,11,37275,839,31328,5033,42,33,1,36134,46,702,381,11,5921,5451,,134,559,922,979,1608,2234,2054,2663,97,122,,5,1210,1998,148,138,2002,109,5762,,3465,7802,105,,350,210,532,1810,331,,16,45,118,14,6513,1425,8,,,,,2639,5934,107,2444,245,3,2366,1609,154,29,476,17,776,1947,976,186,293,326,442,843,223,312,50,9,328,9,1,11372,527,9122,1706,4,13,11010,258,93,,10,1,29
106190500,190500,CEDARS-SINAI MARINA DEL REY HOSPITAL,General Acute Care Hospital,Los Angeles,4650 Lincoln Blvd,Marina Del Rey,90292,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,100-149,District 26,District 62,Baldwin Hills/Culver City South/Fox Hills/Ladera Heights/Marina del Rey/View Park/Windsor Hills,Urban,12938,13305,3,733,1362,5420,5229,3850,3750,2753,1649,1367,94,39,65,921,7459,262,103,2141,89,15196,10,5757,20344,145,,978,915,3,30,70,2,167,,611,5,1,23393,71,,,,,11211,4325,907,8098,1705,,3,1821,5,1350,66,284,321,223,1584,1459,880,5646,2093,1727,55,1072,465,1893,1058,4229,12,26246,242,24963,1016,9,16,,21999,145,2987,1113,2,1627,1680,,14,189,256,278,451,574,579,964,,,2,6,152,882,47,14,212,19,1972,3,557,2724,26,,285,179,140,498,52,39,,14,147,17,1337,599,,,,,,663,1887,35,653,69,,365,449,34,4,184,2,207,933,313,102,100,57,127,267,103,47,,,11,1,1,3307,85,3019,196,,7,2928,294,76,,9,,18
106190517,190517,PROVIDENCE CEDARS-SINAI TARZANA MEDICAL CENTER,General Acute Care Hospital,Los Angeles,18321 Clark St,Tarzana,91356,Investor - Limited Liability Company,,Emergency - Basic,,,200-299,District 27,District 45,Encino/Tarzana/Warner Center/Woodland Hills,Urban,15689,12878,6,3341,2519,4233,4575,3373,3236,2760,1885,1909,742,,18,616,1439,713,41,4932,167,20635,12,8704,19658,197,14,270,254,2,27,8,4,10,41,263,3,61,27447,178,,,5,,14266,5077,289,7527,1414,,55,1722,2,1252,73,570,260,357,634,1672,1552,5205,1046,1597,39,1029,884,3410,1046,6166,2,28573,1782,24060,2689,26,16,4,28011,16,276,253,13,3126,2988,,150,212,321,356,610,974,1148,2042,131,170,,4,193,232,135,19,738,51,4742,,1001,5051,62,,139,132,259,1408,149,1,,31,39,38,2920,987,11,,,,,1157,3636,25,1235,61,,1114,940,75,19,293,8,439,1225,528,77,124,168,178,489,126,192,49,3,61,6,,6114,833,4795,482,3,1,5985,98,31,,,,15
106190521,190521,MEMORIAL HOSPITAL OF GARDENA,General Acute Care Hospital,Los Angeles,1145 W Redondo Beach Blvd,Gardena,90247,Investor - Individual,,Emergency - Basic,,,150-199,District 35,District 66,Gardena Southeast/Harbor Gateway Central/Lawndale South/Moneta/Redondo Beach North/Torrance North,Urban,13881,11637,1,1395,1872,5456,5113,3658,3505,2678,989,673,180,,40,625,12581,111,98,5431,271,6362,,8824,16308,387,,864,1498,2,62,13,1,,586,42,,4,22221,124,102,,,,16142,3346,902,1972,3157,,8,1318,3,1607,63,442,371,257,1370,1596,1015,4954,1976,1669,88,1165,942,2368,947,3354,6,25519,41,23394,2070,14,,,24627,6,218,205,463,2304,2430,,28,256,404,520,993,1244,669,620,,,,4,237,2404,3,10,930,39,1107,,1329,3353,52,,375,430,239,287,51,,2,1,3,61,2580,703,2,,,,,2545,1876,44,225,44,,771,654,63,7,301,,273,1183,310,79,67,87,258,425,69,131,,5,51,,,4734,25,4185,521,2,1,4624,57,16,37,,,10
106190522,190522,GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER,General Acute Care Hospital,Los Angeles,1420 S Central Ave,Glendale,91204,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 25,District 43,Atwater Village/Glendale Central/Glendale Southwest/Griffith Park,Urban,11234,9987,,1102,1338,3402,3749,2875,3052,2575,1464,1418,246,,,1006,11,,1067,1,198,18938,,9354,11721,146,,220,561,,35,61,1,151,41,17,6,2,20126,,,,,,12102,4093,259,3373,1394,,21,1861,3,1240,62,449,190,219,502,1357,1013,3674,1005,1736,44,898,638,1763,833,3710,3,21221,1566,16927,2638,1,89,148,20348,1,521,180,23,2211,2698,,39,275,411,429,701,924,828,1258,44,,,,242,3,,447,,56,4161,,1465,3383,61,,183,834,238,708,86,18,1,44,195,12,2589,,1,,,,,1689,2590,13,538,79,,945,572,38,4,177,3,291,1194,268,547,50,113,77,371,63,93,42,1,58,1,1,4909,768,3508,613,3,17,4629,215,36,16,,13,16
106190524,190524,MISSION COMMUNITY HOSPITAL - PANORAMA CAMPUS,General Acute Care Hospital,Los Angeles,14850 Roscoe Blvd,Panorama City,91402,Investor - Limited Liability Company,,Emergency - Basic,,,100-149,District 18,District 46,Northridge South/Reseda North,Urban,3510,4288,1,207,555,1482,1348,1217,1265,998,435,273,19,,25,141,686,58,362,62,280,6185,,4610,3181,8,,152,533,,22,5,,,34,,,3,6829,3,218,,,,4428,1345,162,549,1315,,1,437,1,573,17,122,105,63,461,450,353,1538,768,498,22,331,87,675,299,995,3,7799,362,5157,2273,6,1,3,6999,,677,64,56,2016,2916,,46,685,720,703,898,800,517,563,,,,12,181,818,44,194,63,12,3608,,1975,2947,9,1,84,266,215,313,30,4,,28,22,2,2901,1063,,,,4,,2339,1451,26,1005,109,2,251,321,37,2,141,2,171,1022,180,2194,71,50,90,283,49,65,,1,2,,,4932,221,3894,817,,,4083,816,12,21,,,8
106190525,190525,MEMORIALCARE LONG BEACH MEDICAL CENTER,General Acute Care Hospital,Los Angeles,2801 Atlantic Ave,Long Beach,90806,Non-profit Corporation (incl. Church-related),Level II & Level II - Ped,Emergency - Basic,,Teaching,300-499,District 33,District 70,Bixby Knolls/Long Beach Central,Urban,31267,24875,3,9520,6514,9721,8157,5757,5559,4107,2272,1430,3108,,296,3296,10565,1435,704,14616,591,24635,7,30032,25680,426,7,578,,2086,88,279,7,3,11,395,13,3,52448,232,,,2,,34267,6306,492,11700,3380,,285,3298,44,3247,353,975,700,582,2905,3343,4049,8430,1382,3395,245,2242,1745,6758,1729,10415,23,56145,653,47402,7952,136,2,2,54480,10,1297,341,15,6621,6563,,130,1044,1301,1326,2186,2751,2294,2152,,,,56,1337,2459,436,227,2462,111,6094,2,4581,8463,140,,465,,657,2103,157,7,4,19,339,21,7826,1573,12,,,1,,4289,6236,127,2399,133,,2576,1804,208,20,593,38,673,2417,1807,106,311,470,518,817,231,431,,18,135,11,,13184,548,10574,2017,45,,12753,347,77,1,5,1,64
106190529,190529,METHODIST HOSPITAL OF SOUTHERN CALIFORNIA,General Acute Care Hospital,Los Angeles,300 W Huntington Dr,Arcadia,91007,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,300-499,District 22,District 49,Arcadia Central and Northeast/Bradbury/Monrovia/Sierra Madre,Urban,15451,13334,1,2124,2188,4107,4280,3578,3928,3231,2489,2463,398,,19,4188,1648,284,142,13220,477,8808,,2690,25616,480,,828,1722,54,113,50,2,2,137,217,13,39,25286,321,,,2,,2359,6995,789,16681,1962,,11,2320,4,1771,92,487,383,257,708,1793,1436,6054,1111,1716,102,1227,605,2556,930,5215,8,28786,1537,24186,2983,56,24,65,27538,5,780,228,170,4764,4610,,36,270,465,661,1202,1742,2015,2978,4,1,,8,2069,456,58,,3299,8,3476,,423,8943,8,,501,237,633,1501,284,1,,27,585,,4116,1489,,,,,,720,5546,36,2994,78,,1751,1300,118,22,516,8,611,1911,882,92,169,428,365,745,183,197,4,4,62,6,,9374,1420,6772,1149,25,8,9155,162,33,3,5,16,26
106190534,190534,OLYMPIA MEDICAL CENTER,General Acute Care Hospital,Los Angeles,5900 W Olympic Blvd,Los Angeles,90036,Investor - Limited Liability Company,,Emergency - Basic,,,200-299,District 26,District 50,Hancock Park/Mid-City West/Park La Brea,Urban,8106,7429,1,535,969,3385,3149,2213,2406,1739,676,405,59,,29,564,7366,113,4,4714,30,2716,,3861,11660,15,,2,575,594,24,,,,167,105,,37,13871,161,,,,,8917,2396,228,1847,2148,,2,784,2,1022,64,260,158,200,553,1082,469,3259,1124,1062,46,658,290,1527,646,2327,1,15536,147,14759,624,1,5,11,14598,13,686,224,4,1677,1729,,4,162,243,312,524,749,638,774,,,,,282,1356,22,1,1037,2,706,,826,2573,7,,20,269,242,200,18,3,,6,48,173,1433,919,64,,,11,,1138,2018,28,138,84,,468,426,56,5,217,,248,1063,195,32,71,84,117,270,67,68,,13,6,,,3406,208,2800,396,1,1,3209,151,44,1,1,,16
106190547,190547,MONTEREY PARK HOSPITAL,General Acute Care Hospital,Los Angeles,900 S Atlantic Blvd,Monterey Park,91754,Investor - Individual,,Emergency - Basic,,,100-149,District 22,District 49,Montebello North/Monterey Park/South San Gabriel,Urban,8916,6396,,1579,1635,3067,2511,1945,1744,1254,734,615,228,,17,742,259,9,7,200,23,14055,,13640,1650,22,,226,462,,4,3,,,11,42,,1,14547,14,2,,,,2372,1848,125,9744,1223,,5,757,,1595,26,365,221,207,220,1131,1105,2862,604,783,37,605,480,2022,619,1666,2,15312,212,10114,4986,,,,15116,1,118,53,24,1055,968,,35,138,215,238,300,379,305,401,2,10,,1,219,20,,2,16,1,1764,,1681,341,1,,79,103,100,255,29,,,2,13,,1288,153,,,,1,,857,949,7,189,21,,261,362,25,2,151,,184,432,117,17,30,74,42,170,51,63,2,,40,,,2023,77,920,1026,,,1993,25,4,1,,,6
106190555,190555,CEDARS-SINAI MEDICAL CENTER,General Acute Care Hospital,Los Angeles,8700 Beverly Blvd,Los Angeles,90048,Non-profit Corporation (incl. Church-related),Level I & Level II - Ped,Emergency - Basic,,Teaching,500+,District 26,District 50,Hollywood Hills/Hollywood West/Mount Olympus/West Hollywood,Urban,25469,25073,18,1282,1749,8816,9933,7494,7381,6270,3935,3233,401,66,68,2675,10864,472,104,3361,424,32563,29,10439,39535,586,,957,1537,2,155,441,15,357,,615,3,13,46283,181,,,1,,15068,11293,1494,18819,3886,,34,5403,19,2851,318,444,838,476,1405,3164,1988,8769,2912,3648,259,2341,1004,3097,1588,9981,21,50560,1911,45931,2561,83,74,2,44503,162,4506,1379,8,11956,12943,2,285,1207,1957,2242,3349,4545,4882,6180,112,136,6,40,1529,4572,294,36,1327,156,16926,21,4024,20638,238,1,274,571,1071,6756,352,127,,56,1419,127,11837,2309,2,,,,,3184,15019,209,6134,354,1,4184,3650,370,38,1066,29,1621,4438,3662,342,783,1226,894,1260,557,502,37,48,147,45,2,24901,2579,20497,1722,49,54,23425,934,511,1,29,1,51
106190568,190568,NORTHRIDGE HOSPITAL MEDICAL CENTER,General Acute Care Hospital,Los Angeles,18300 Roscoe Blvd,Northridge,91325,Non-profit Corporation (incl. Church-related),Level II & Level II - Ped,Emergency - Basic,,,300-499,District 27,District 45,Northridge South/Reseda North,Urban,19478,18242,3,2855,3200,7005,6267,4933,4906,3889,2316,1875,477,,35,2169,3054,1374,33,2921,350,27787,,17228,20112,383,,598,1209,4,99,206,57,,1,149,,19,35068,201,2,110,,,20404,6090,962,6776,3491,,24,2816,3,1611,80,562,407,382,853,2080,1916,7362,2091,2581,54,1611,894,3358,1274,7750,14,37723,573,30407,6680,9,54,248,35986,,1167,320,2,4703,5391,1,425,635,713,800,1447,1830,1690,2234,126,195,,12,901,587,214,16,960,42,7363,,3023,7061,11,,537,254,450,1663,271,47,7,51,253,140,5052,1366,3,1,,,,2869,5045,148,1726,307,,1879,1032,62,16,413,8,499,2340,1386,841,128,180,331,529,106,206,74,7,53,5,,10095,392,8211,1460,,32,9685,349,60,,,1,36
106190570,190570,NORWALK COMMUNITY HOSPITAL,General Acute Care Hospital,Los Angeles,13222 Bloomfield Ave,Norwalk,90650,Investor - Corporation,,Emergency - Basic,,,50-99,District 32,District 57,Norwalk/Studebaker,Urban,2147,2417,,189,252,812,813,669,734,630,277,164,24,,19,279,574,289,33,1624,686,1060,,2688,1741,135,,258,331,,12,,,73,24,286,19,67,3236,258,,,,,2801,834,63,609,257,,1,232,1,328,12,84,95,35,277,271,201,885,651,266,6,168,30,377,165,477,2,4564,22,3937,595,3,7,3,4310,1,205,39,6,478,615,,5,43,73,101,193,310,182,186,,,,4,88,202,13,4,325,,457,,479,574,40,,129,36,65,17,3,4,1,12,,17,419,390,,,,,,449,574,28,39,3,,70,118,9,1,58,,83,450,73,20,34,11,64,50,27,22,,,3,,,1093,12,879,201,1,,1043,45,4,1,,,4
106190587,190587,COLLEGE MEDICAL CENTER,General Acute Care Hospital,Los Angeles,2776 Pacific Ave,Long Beach,90806,Investor - Limited Liability Company,,Emergency - Basic,,,100-149,District 33,District 70,Bixby Knolls/Long Beach Central,Urban,2827,3857,1,86,258,1320,1633,1090,1110,778,285,121,4,,20,280,2023,75,93,941,278,2975,,2197,4219,269,,204,407,,12,6,,8,26,702,42,68,5073,136,,1,,,4264,1464,33,519,405,,1,338,2,229,32,44,79,33,237,221,89,788,2862,341,10,212,68,346,191,561,1,6685,23,6404,253,,5,,4917,4,1320,35,409,2065,3451,,67,1012,1262,955,919,657,357,287,,,,19,282,1584,59,46,765,112,2649,,1682,3715,110,9,186,478,93,79,26,1,13,225,311,107,3467,525,,,5,,,3980,1264,19,162,91,,265,243,23,3,184,1,127,390,149,3563,94,24,75,205,69,71,,2,27,,1,5516,58,5243,195,,20,3227,2063,15,208,3,,7
106190630,190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,General Acute Care Hospital,Los Angeles,1798 N Garey Ave,Pomona,91767,Non-profit Corporation (incl. Church-related),Level II,Emergency - Basic,,,300-499,District 20,District 52,Claremont/La Verne/Pomona Northwest/San Dimas,Urban,33186,29456,,4967,5112,11428,10155,8624,8280,6146,3491,3006,1433,,60,2954,5663,3327,360,8465,29,41784,,36486,25074,1082,,519,3138,99,163,10,8,583,1260,271,18,,56213,305,,,,55,35693,8534,1268,12990,4157,,113,3815,8,2957,341,818,868,553,4804,3752,4348,11175,2221,4324,138,2553,1919,4505,1966,11437,27,62642,597,53480,8212,264,89,,61415,,770,433,24,5271,6345,,168,740,887,1137,1896,2278,2003,2350,79,78,,6,851,943,688,113,1433,2,7580,,5363,6085,168,,424,295,882,31,313,1139,17,28,132,172,6750,1414,9,10,,,,3829,5657,174,1779,177,,2343,1148,86,7,521,12,524,3264,1829,111,194,314,352,520,127,100,27,8,124,3,2,11616,272,9353,1908,83,,11188,353,71,4,,,70
106190631,190631,PIH HEALTH HOSPITAL - WHITTIER,General Acute Care Hospital,Los Angeles,12401 Washington Blvd,Whittier,90602,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,500+,District 32,District 57,La Habra Heights/Whittier,Urban,27731,22015,3,3909,4221,8570,7563,6477,6350,4853,3572,3432,802,,801,1254,928,503,,13345,4705,28213,,36225,9363,4161,,1112,1155,285,98,16,6,,223,501,1,44,46143,161,,4,,,22313,10215,868,12931,3422,,51,3259,8,2590,121,980,590,479,1554,3471,3611,8695,1712,3188,109,2047,1274,4148,1856,9995,11,49749,182,42801,6759,4,3,3,47831,5,1664,192,54,7268,6708,2,72,537,932,1263,2093,2631,2792,3625,32,1,,204,572,160,88,,3021,1780,8153,,8289,4053,1636,,468,265,605,3731,326,1,1,23,176,35,6851,1489,5,2,,,,2739,8560,109,2379,191,,2797,2064,150,35,713,34,793,3262,1124,149,299,403,665,625,225,457,29,10,135,9,,13978,114,11265,2596,3,,13585,340,45,4,2,2,61
106190636,190636,EMANATE HEALTH QUEEN OF THE VALLEY HOSPITAL,General Acute Care Hospital,Los Angeles,1115 S Sunset Ave,West Covina,91790,Investor - Corporation,,Emergency - Basic,,,300-499,District 22,District 48,Valinda/West Covina,Urban,25325,20903,3,5079,4401,8763,7604,5910,5557,4160,2066,1469,1222,,58,3048,1394,14,189,3376,518,37634,,36697,9265,269,,574,1499,104,46,,5,7,384,277,,,43210,119,3,,3,,26982,6100,813,7211,5125,,96,2341,7,2525,188,1110,572,448,2574,3094,3119,7598,1571,2632,92,1955,1781,5574,1606,7341,7,46231,293,39636,6263,38,1,22,45225,,622,160,202,3655,3604,,143,476,660,780,1232,1445,1078,1174,162,109,,7,752,204,,47,513,47,5689,,5044,2186,29,,502,272,301,1096,131,4,2,30,113,33,4066,706,3,,,,,2985,3033,59,984,198,,944,1368,132,7,470,6,570,1401,531,70,106,185,206,654,141,164,90,5,200,9,,7259,191,5316,1749,2,1,7021,204,27,6,,1,24
106190673,190673,SAN DIMAS COMMUNITY HOSPITAL,General Acute Care Hospital,Los Angeles,1350 W Covina Blvd,San Dimas,91773,Investor - Limited Liability Company,,Emergency - Basic,,,100-149,District 25,District 41,Claremont/La Verne/Pomona Northwest/San Dimas,Urban,5883,5130,,664,869,2010,1760,1494,1513,1152,769,683,99,,31,732,764,52,11,95,,9328,,5017,5995,1,,323,295,13,21,2,,,310,237,,1,9788,23,,,,,949,2293,298,6852,621,,1,678,3,737,40,184,222,108,335,798,420,2489,575,682,35,496,223,1058,398,1528,3,11013,64,10572,377,,,30,10779,,91,94,19,1247,1143,,16,98,168,206,336,516,458,583,9,,,6,223,146,9,2,4,,2000,,877,1512,1,,159,305,166,186,51,,,45,18,,1095,365,,,,,,522,1387,20,432,29,,251,359,25,2,99,,164,798,133,27,88,24,105,187,58,31,9,,30,,,2390,42,2233,115,,,2323,52,12,1,,2,8
106190680,190680,PROVIDENCE LITTLE COMPANY OF MARY MC - SAN PEDRO,General Acute Care Hospital,Los Angeles,1300 W 7th St,San Pedro,90732,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,200-299,District 35,District 70,Miraleste/Palo Verdes Estates/Portuguese Bend/Rancho Palos Verdes/Rolling Hills/San Pedro West,Urban,15296,12327,13,2058,2494,4817,4577,4159,3723,2766,1463,1304,275,,29,461,2605,455,109,13626,306,10015,30,15498,11724,383,31,795,236,10,24,19,3,2,136,457,5,,25843,88,,,18,,15349,4379,994,5289,1625,,6,1361,7,1476,46,539,337,283,856,1604,1873,5023,1235,2027,25,1334,659,2481,1427,5023,14,27636,243,23654,3709,21,9,3,27012,9,470,123,19,1450,1499,,28,193,273,341,461,590,446,617,,,,8,90,247,52,17,957,36,1542,,1140,1763,46,,154,117,108,327,87,3,21,39,34,9,1643,406,,,,1,,993,1455,52,383,66,,377,478,28,7,134,2,201,569,301,229,44,54,114,222,112,52,,1,23,1,,2949,83,2457,405,1,3,2720,206,23,,,,16
106190687,190687,SANTA MONICA - UCLA MEDICAL CENTER AND ORTHOPAEDIC HOSPITAL,General Acute Care Hospital,Los Angeles,1250 16th St,Santa Monica,90404,University of California,,Emergency - Basic,,,200-299,District 26,District 50,Santa Monica Central/Sawtelle/West Los Angeles,Urban,14685,14041,,2011,2054,5051,5127,3872,3953,3023,1760,1497,378,,130,1483,3690,676,33,6289,494,15930,1,8011,20298,417,,508,212,9,25,33,3,7,106,223,14,,27440,146,,,,,10070,4275,731,11201,2449,,37,1713,5,1214,169,472,318,302,1060,1645,1018,6608,1205,2032,69,1090,488,2229,1220,5815,17,28726,479,26229,1932,50,36,,25364,67,2568,687,40,3429,3090,,185,289,485,510,791,1123,1231,1689,90,126,,16,511,769,137,5,1140,56,3885,,1296,5151,72,,212,150,239,1740,235,3,,16,133,,2796,995,,,,,,1015,3581,37,1855,31,,824,867,159,14,370,3,313,1457,685,116,250,379,213,493,119,154,37,33,27,4,2,6519,355,5623,525,,16,6203,225,89,,2,,21
106190696,190696,PACIFICA HOSPITAL OF THE VALLEY,General Acute Care Hospital,Los Angeles,9449 San Fernando Rd,Sun Valley,91352,Investor - Corporation,,Emergency - Basic,,,200-299,District 18,District 39,Pacoima East/Sun Valley West,Urban,2727,3246,,277,588,1195,1145,971,941,586,158,95,17,,512,314,239,,58,1895,,2955,,4125,1841,7,,139,603,,15,1,,1,28,2,,2,5178,2,,1,,1,4032,554,126,646,615,,1,177,1,332,14,106,41,70,158,334,291,1327,687,501,6,208,40,620,231,828,,5973,25,4565,1380,2,1,,5257,1,651,55,9,1060,1715,,38,440,494,500,579,407,175,142,,,,373,271,185,,37,673,2,1234,,1467,1303,5,,44,257,80,48,,9,6,17,6,115,2039,152,,,2,,,1935,622,14,143,61,,167,224,11,15,76,2,109,250,96,1236,45,14,92,190,72,170,,4,2,,,2775,15,2288,471,1,,2091,669,6,9,,,7
106190708,190708,SHERMAN OAKS HOSPITAL,General Acute Care Hospital,Los Angeles,4929 Van Nuys Blvd,Sherman Oaks,91403,Non-profit Corporation (incl. Church-related),,Emergency - Basic,,,150-199,District 18,District 46,Sherman Oaks/Studio City/Valley Village,Urban,9120,10208,1,640,951,3615,4283,3064,3061,1913,948,777,77,,86,1340,2374,89,28,5997,444,8971,,5218,14013,98,,511,439,,21,,1,,463,635,,148,16965,132,,14,,,9132,2992,1990,3511,1704,,1,1009,6,871,53,238,221,164,2068,902,779,4119,2227,1042,43,704,189,1435,657,2592,9,19329,163,18452,707,7,,,16922,7,1859,315,226,1806,1842,,4,125,206,281,554,739,767,972,,,,9,102,329,26,12,948,98,2124,,691,2943,14,,167,202,237,324,50,2,6,44,89,182,1244,1100,,,1,,,1109,2220,10,280,29,,551,430,24,10,210,2,222,919,319,254,84,52,145,281,99,25,,4,14,3,,3648,96,3415,137,,,3318,281,33,16,,,12
